year,month,date,arrival,min,max,modal
2014,July,31,10.00,2700,2700,2700
2014,July,25,14.00,2700,2800,2750
2014,August,12,15.00,2600,2700,2650
2014,August,13,15.00,2600,2700,2650
2014,August,08,16.00,2400,2500,2450
2014,August,11,16.00,2500,2600,2550
2014,August,14,17.50,2700,2700,2700
2014,August,25,19.00,2500,2500,2500
2014,September,04,20.00,2500,2600,2550
2014,August,26,20.00,2500,2650,2575
2014,September,11,24.00,2400,2600,2500
2014,September,10,24.00,2400,2650,2525
2014,September,17,25.00,2100,2300,2200
2014,September,06,25.00,2600,2650,2625
2014,August,30,27.00,2550,2550,2550
2014,September,01,27.00,2700,2700,2700
2014,September,20,28.00,2250,2300,2275
2014,September,02,30.00,2700,2700,2700
2014,July,30,140.00,2700,2800,2750
2022,March,24,7.50,2300,2500,2400
2014,May,31,20.00,1800,1900,1850
2014,July,31,10.00,2800,2800,2800
2014,July,25,14.00,2900,3000,2950
2014,August,12,15.00,2900,2900,2900
2014,August,13,15.00,2900,2900,2900
2014,August,08,16.00,2800,2900,2850
2014,August,11,16.00,2900,2900,2900
2014,August,14,17.50,2900,2900,2900
2014,August,25,19.00,2750,2800,2775
2014,September,04,20.00,2700,2800,2750
2014,August,26,20.00,2700,2800,2750
2014,September,10,24.00,2700,2700,2700
2014,September,11,24.00,2700,2700,2700
2014,September,17,25.00,2500,2500,2500
2014,September,06,25.00,2700,2700,2700
2014,August,30,27.00,2700,2800,2750
2014,September,01,27.00,2800,2800,2800
2014,September,20,28.00,2350,2450,2400
2014,September,02,30.00,2800,2800,2800
