year,month,date,arrival,min,max,modal
2018,April,16,1.10,3000,3500,3200
2018,April,17,1.70,3000,4000,3200
2018,April,12,1.90,3000,3500,3200
2018,April,14,1.90,3000,3500,3200
2018,March,19,2.10,3000,3500,3200
2018,March,13,2.30,3000,3500,3200
2018,March,27,2.30,3000,3500,3200
2018,April,02,2.50,3000,3500,3200
2018,April,21,2.50,3000,3500,3200
2018,March,30,2.50,3000,3500,3200
2018,April,10,2.70,3000,3500,3200
2018,April,13,2.70,3000,3500,3200
2018,March,26,2.70,3000,3500,3200
2018,April,24,2.80,3000,3500,3200
2018,March,05,2.90,3000,3500,3200
2018,April,19,2.90,3000,3500,3200
2018,March,22,2.90,3000,3500,3200
2018,April,26,2.90,3000,3500,3200
2018,April,04,3.00,3000,3500,3200
2018,April,25,3.00,3000,3500,3200
2018,April,20,3.10,3000,3500,3200
2018,April,23,3.10,3000,3500,3200
2018,April,06,3.20,3000,3500,3200
2018,April,09,3.20,3000,3500,3200
2018,March,14,3.20,3000,3500,3200
2018,March,16,3.30,3000,3500,3200
2018,March,21,3.30,3000,3500,3200
2018,May,01,3.40,3000,3500,3200
2018,April,07,3.70,3000,3500,3200
2018,April,11,3.70,3000,3500,3200
2018,April,18,3.70,3000,3500,3200
2018,March,06,3.80,3000,3500,3200
2018,February,24,3.90,3500,4000,3700
2018,April,28,4.30,3000,3500,3200
2018,April,30,4.40,3000,4000,3200
2018,March,28,4.50,3000,3500,3200
2018,March,01,4.70,3500,4000,3700
2018,March,03,4.90,3000,3500,3200
2018,March,10,5.30,3000,3500,3200
2018,March,23,5.30,3000,3500,3200
2018,February,20,5.40,3500,4000,3700
2018,March,09,5.50,3000,3500,3200
2018,February,28,5.80,3500,4000,3700
2018,February,23,6.10,3500,4000,3700
2018,March,11,6.40,3000,3500,3200
2018,March,02,6.40,3500,4000,3700
2018,March,08,6.50,3000,3500,3200
2018,March,12,6.70,3000,3500,3200
2018,February,21,6.70,3500,4000,3700
2018,March,07,6.80,3000,3500,3200
2018,March,15,6.80,3000,3500,3200
2018,March,31,7.30,3000,3500,3200
2018,March,29,7.80,3000,3500,3200
2018,March,17,7.90,3000,3500,3200
2018,February,26,7.90,3500,4000,3700
2018,March,24,8.20,3000,3500,3200
2018,April,27,8.40,3000,3500,3200
2018,February,22,8.60,3500,4000,3700
2018,February,27,9.00,3500,4000,3700
2018,April,05,10.00,3000,3500,3200
2018,March,20,12.00,3000,3500,3200
