year,month,date,arrival,min,max,modal
2018,February,11,0.20,4800,5200,5000
2018,February,20,0.21,4000,4200,4100
2018,February,13,0.25,4500,5000,4600
2018,March,08,0.26,2800,3400,3200
2018,February,04,0.26,5000,5500,5100
2018,February,05,0.26,5000,5500,5200
2018,February,09,0.27,2000,2500,2100
2018,January,12,0.28,5500,6000,5700
2018,March,12,0.30,2600,3000,2800
2018,March,11,0.30,2600,3200,2800
2018,January,21,0.30,3500,4000,3800
2018,March,17,0.30,3800,4000,3900
2018,March,21,0.30,3800,4000,3900
2018,February,10,0.30,4800,5000,4900
2018,February,07,0.30,5000,5300,5100
2018,May,09,0.31,2500,2700,2600
2018,March,10,0.31,2800,3200,3000
2018,March,13,0.31,3500,4000,3700
2018,April,08,0.32,2500,2700,2600
2018,May,17,0.32,2500,2800,2600
2018,March,16,0.32,3800,4000,3900
2018,March,19,0.32,4000,4500,4200
2018,February,28,0.32,4400,4800,4600
2018,February,23,0.32,4500,5000,4600
2018,February,16,0.33,3800,4000,3900
2018,January,01,0.33,5500,6000,5750
2018,April,10,0.34,1800,2200,1900
2018,March,09,0.34,2500,3000,2800
2018,March,15,0.34,3800,4200,4000
2018,May,02,0.35,2000,2200,2100
2018,May,05,0.35,2500,2700,2600
2018,March,07,0.35,3500,4000,3700
2018,March,18,0.35,4000,4200,4100
2018,February,27,0.35,4000,4800,4300
2018,February,08,0.35,4000,5000,4200
2018,March,02,0.35,4300,4500,4400
2018,January,22,0.35,5000,6000,5500
2018,February,01,0.35,5500,6000,5750
2018,March,05,0.36,4500,4800,4600
2018,January,02,0.36,5500,6000,5750
2018,May,01,0.38,2000,2500,2100
2018,May,29,0.38,2500,3000,2600
2018,May,21,0.38,2800,3000,2900
2018,June,19,0.38,4000,5000,4500
2018,March,20,0.39,4000,4200,4100
2017,June,06,0.40,1200,1400,1300
2017,June,09,0.40,1200,1400,1300
2017,June,10,0.40,1200,1400,1300
2018,May,18,0.40,2400,2600,2500
2017,December,29,0.40,2400,3000,2600
2018,May,20,0.40,2500,2800,2700
2018,June,15,0.40,3000,3500,3200
2018,June,18,0.40,4000,5000,4500
2018,June,20,0.40,4000,5000,4500
2018,March,06,0.40,4500,5000,4700
2018,January,09,0.40,5000,5500,5200
2018,January,24,0.40,5500,5800,5600
2018,January,08,0.40,5500,5900,5700
2018,January,15,0.40,5500,6000,5700
2018,January,19,0.41,5500,6000,5800
2018,April,11,0.42,2000,2400,2200
2018,May,04,0.42,2400,2600,2500
2018,May,15,0.42,2400,2600,2500
2018,April,21,0.42,2400,2700,2600
2018,May,07,0.42,2500,2700,2600
2018,May,16,0.42,2500,2700,2600
2018,March,14,0.42,3500,4000,3700
2018,February,21,0.42,3800,4200,4000
2018,June,17,0.42,4000,4500,4200
2018,March,01,0.42,4200,4500,4300
2018,February,03,0.42,5000,5500,5200
2018,January,06,0.42,5400,5900,5700
2018,May,19,0.43,2400,2600,2500
2018,April,16,0.43,2500,2700,2600
2018,June,08,0.43,2500,2800,2600
2018,February,15,0.43,4200,4500,4300
2018,March,03,0.43,4500,4800,4600
2018,January,16,0.43,5600,6000,5800
2018,February,06,0.44,5000,5300,5100
2018,May,14,0.45,2400,2600,2500
2018,May,10,0.45,2500,2700,2600
2018,April,20,0.45,2500,2700,2600
2018,June,21,0.45,4500,5000,4700
2017,December,30,0.45,6000,8000,7000
2018,May,06,0.46,2500,2700,2600
2018,June,13,0.48,2500,3000,2800
2018,March,27,0.48,2800,3000,2900
2018,January,11,0.48,4800,5200,5000
2018,January,13,0.48,5700,6000,5900
2018,May,08,0.49,2500,2700,2600
2018,June,10,0.49,2800,3000,2900
2017,June,08,0.50,1200,1400,1300
2018,April,12,0.50,2500,2700,2600
2018,June,07,0.50,2500,3000,2600
2018,March,26,0.50,2800,3200,3000
2018,June,16,0.50,4000,4600,4500
2018,April,04,0.51,2800,3000,2900
2018,February,17,0.51,3800,4000,3900
2018,February,19,0.51,3900,4200,4000
2018,April,05,0.52,2400,2800,2500
2018,April,09,0.52,2500,2700,2600
2018,April,18,0.52,2500,2700,2600
2018,June,09,0.52,2500,3200,2800
2018,June,11,0.52,3000,3500,3200
2018,February,14,0.52,4000,4300,4100
2018,February,24,0.52,4500,5000,4700
2018,January,18,0.52,5500,6000,5700
2018,April,07,0.53,2400,2700,2500
2018,April,02,0.54,2500,2800,2600
2018,May,22,0.54,2800,3000,2900
2018,June,14,0.54,3000,3500,3200
2018,January,17,0.54,5000,5800,5200
2018,January,03,0.54,5500,6000,5700
2018,April,19,0.55,2600,2800,2700
2018,January,07,0.55,5500,5900,5700
2018,February,02,0.55,5500,6000,5700
2018,January,04,0.55,5500,6000,5750
2018,January,14,0.56,5600,6000,5800
2018,January,20,0.56,5600,6000,5800
2018,June,12,0.59,2500,3000,2800
2018,January,05,0.60,5500,6000,5700
2018,April,03,0.62,2500,2700,2600
2018,March,29,0.64,2600,2800,2700
2018,March,28,0.64,2800,3000,2900
2018,March,31,0.65,2500,2800,2600
2018,January,10,0.65,5000,5500,5200
2017,December,15,0.70,7500,8000,7700
2018,March,30,0.75,2500,2700,2600
2017,December,31,0.80,6000,6200,6100
2017,December,14,0.80,7000,8000,7500
2017,July,21,0.90,1350,1370,1360
2017,December,13,0.90,6000,7000,6200
2017,July,09,1.00,1100,1300,1200
2017,July,07,1.00,1150,1350,1250
2017,July,08,1.00,1200,1400,1300
2017,June,29,1.00,1200,1400,1300
2017,July,14,1.00,1300,1320,1310
2017,July,12,1.00,1300,1340,1320
2017,July,10,1.00,1300,1400,1350
2017,July,11,1.00,1300,1400,1350
2017,July,13,1.00,1300,1400,1350
2017,June,20,1.00,1300,1500,1400
2017,June,21,1.00,1300,1500,1400
2017,June,26,1.00,1300,1500,1400
2017,June,28,1.00,1300,1500,1400
2017,June,13,1.00,1300,1600,1450
2017,June,14,1.00,1300,1600,1450
2017,June,17,1.00,1300,1600,1450
2017,June,19,1.00,1300,1600,1450
2017,June,22,1.00,1300,1600,1450
2017,June,24,1.00,1300,1600,1450
2017,June,23,1.00,1300,1700,1500
2017,July,16,1.00,1350,1370,1360
2017,July,17,1.00,1350,1370,1360
2017,July,20,1.00,1350,1370,1360
2017,July,15,1.00,1350,1450,1400
2017,July,22,1.00,1400,1420,1410
2017,July,02,1.00,1500,1700,1600
2017,July,05,1.00,1500,1900,1700
2017,August,04,1.00,1700,2900,2300
2017,July,04,1.00,1800,2200,2000
2017,August,15,1.00,2700,3500,3100
2017,July,24,1.06,1300,1340,1320
2017,July,26,1.06,1300,2300,1800
2017,August,05,1.06,1700,2700,2200
2017,August,18,1.06,3000,4000,3500
2017,August,02,1.10,1600,2800,2200
2017,July,29,1.20,1300,2400,1800
2017,August,06,1.20,1600,2600,2100
2017,August,03,1.20,1600,2800,2200
2017,August,16,1.20,3000,5000,4000
2017,December,01,1.20,5500,6000,5750
2017,December,03,1.20,5500,6500,6000
2017,August,08,1.30,1650,2300,2000
2017,August,07,1.30,1700,2700,2200
2017,August,10,1.30,1700,2800,2250
2017,August,12,1.30,2700,3500,3000
2017,December,12,1.30,6000,7000,6500
2017,August,14,1.45,2700,3500,3100
2017,August,11,1.50,1700,2700,2200
2017,August,13,1.50,2700,3500,3100
2017,August,09,1.60,1700,2600,2200
2017,December,07,2.00,5500,6000,5750
2017,December,10,2.00,5500,6000,5750
2017,December,09,2.10,6000,7000,6500
2017,October,09,2.25,3100,4500,3800
2017,October,23,2.30,3500,4500,4000
2017,October,19,2.30,3500,5500,4500
2017,October,20,2.30,3600,5000,4300
2017,December,04,2.30,5500,6000,5750
2017,October,31,2.40,4000,6000,5000
2017,August,19,2.50,2700,3500,3100
2017,August,22,2.50,3000,4000,3500
2017,November,02,2.50,3800,5800,4800
2017,November,08,2.50,4000,6000,5000
2017,October,26,2.60,3600,6000,4600
2017,October,28,2.60,3900,5900,4900
2017,December,05,2.70,4500,6500,5500
2017,December,06,2.70,4500,6500,5500
2017,November,18,2.80,4000,6000,5000
2017,September,08,3.00,2800,4000,3400
2017,October,10,3.00,3100,4300,3700
2017,November,01,3.00,3800,5000,4400
2017,November,04,3.02,3900,5900,4900
2017,October,12,3.20,3100,4500,3800
2017,October,13,3.20,3200,4600,3900
2017,October,11,3.20,3500,4500,4000
2017,October,18,3.20,3500,4500,4000
2017,October,21,3.20,3600,5400,4500
2017,October,25,3.20,3600,5600,4600
2017,November,03,3.20,3900,5900,4900
2017,November,06,3.20,3900,5900,4900
2017,October,29,3.20,3900,6000,4950
2017,October,27,3.20,4000,5000,4500
2017,October,15,3.25,3500,4900,4200
2017,November,19,3.40,4200,6200,5200
2017,October,14,3.43,3500,4500,4000
2017,November,10,3.50,4400,7000,5700
2017,September,25,3.60,2500,3500,3000
2017,October,16,3.60,3500,5000,4200
2017,October,24,3.90,3900,6000,4800
2017,June,05,4.00,1350,1700,1500
2017,September,23,4.00,2600,4600,3600
2017,November,05,4.00,4000,6000,5000
2017,September,28,4.10,2800,4200,3500
2017,November,12,4.30,4500,7000,5700
2017,August,25,4.95,3300,5000,4200
2017,September,01,5.00,3000,4000,3500
2017,December,08,5.00,5500,6000,5750
2017,November,20,5.30,4200,6200,5200
2017,November,27,5.50,4500,7500,6500
2017,September,02,5.60,3000,5000,4000
2017,September,09,5.70,3000,4700,3900
2017,October,30,5.80,3900,5400,4700
2017,November,22,5.90,4500,6500,5500
2017,November,23,6.00,4500,6000,5500
2017,September,14,6.30,3000,5000,4000
2017,August,23,7.00,2800,4000,3400
2017,September,17,7.20,2900,4900,3900
2017,September,16,7.30,3000,5000,4000
2017,September,22,7.40,3000,4000,3500
2017,September,03,7.40,3000,5000,4000
2017,September,12,7.60,3100,4300,3700
2017,November,25,7.60,4500,6500,5500
2017,December,02,7.60,5500,6000,5750
2017,September,06,7.70,3000,5000,4000
2017,August,29,7.80,3300,4700,4000
2017,September,07,8.00,3000,5000,4000
2017,August,28,8.00,3300,4000,3650
2017,September,05,8.04,3000,4800,3800
2017,September,04,8.20,2900,5000,4000
2017,September,18,8.20,3000,5000,4000
2017,August,30,8.40,3400,5000,4200
2017,September,21,8.70,3000,5000,4000
2017,September,11,8.80,3000,4400,3700
