year,month,date,arrival,min,max,modal
2014,June,11,0.10,2100,2300,2100
2014,June,05,0.10,2100,2300,2200
2014,June,06,0.10,2100,2300,2200
2014,June,07,0.10,2100,2300,2200
2014,June,09,0.10,2100,2300,2200
2014,June,10,0.10,2100,2300,2200
2014,June,12,0.10,2100,2300,2200
2014,June,20,3.20,2100,2300,2200
2014,June,25,3.30,2100,2300,2200
2014,June,27,4.30,2100,2300,2200
2014,June,30,4.30,2100,2300,2200
2014,June,18,4.40,2100,2300,2200
2014,June,23,4.40,2100,2300,2200
2014,June,26,4.40,2100,2300,2200
2014,June,13,4.60,2100,2300,2200
2014,June,16,4.60,2100,2300,2200
2014,June,17,4.90,2100,2300,2200
2014,June,21,6.20,2100,2300,2200
2014,July,01,7.30,2100,2300,2200
2014,July,02,7.30,2100,2300,2200
2014,June,24,7.30,2100,2300,2200
2018,February,24,2.20,2100,3300,2400
2018,February,27,2.20,2100,3300,2400
2018,February,23,2.70,2100,3300,2400
2018,February,26,3.10,2100,3300,2400
2018,March,01,3.20,2100,3300,2400
2018,February,28,3.30,2100,3300,2400
2018,March,02,3.80,2100,3300,2400
2014,August,02,4.10,2100,2300,2200
2014,August,11,5.00,2100,2300,2200
2014,August,10,5.20,2100,2300,2200
2018,February,21,5.60,2100,3300,2400
2018,February,22,6.00,2100,3300,2400
2014,July,16,6.50,2100,2300,2200
2018,February,20,6.60,2100,3300,2400
2014,July,06,6.80,2100,2300,2200
2014,July,19,7.50,2100,2300,2200
2014,July,14,7.70,2100,2300,2200
2014,July,15,7.70,2100,2300,2200
2014,August,09,7.80,2100,2300,2200
2014,July,11,8.00,2100,2300,2200
2014,July,09,8.10,2100,2300,2200
2014,August,07,8.20,2100,2300,2200
2014,July,07,8.60,2100,2300,2200
2014,July,18,9.10,2100,2300,2200
2014,July,08,11.60,2100,2300,2200
2014,July,10,11.70,2100,2300,2200
2015,December,18,36,210.00,2100,2300,2200
2014,June,05,0.10,2500,3500,3000
2014,June,06,0.10,2500,3500,3000
2014,June,07,0.10,2500,3500,3000
2014,June,09,0.10,2500,3500,3000
2014,June,10,0.10,2500,3500,3000
2014,June,11,0.10,2500,3500,3000
2014,June,12,0.10,2500,3500,3000
2015,October,08,0.30,2500,3500,3000
2016,September,05,0.50,2500,3500,3000
2015,March,05,0.90,2500,3500,3000
2018,April,04,1.00,2500,2800,2600
2015,March,07,1.00,2500,3500,3000
2018,March,10,1.10,2500,2800,2600
2015,February,27,1.30,2500,3500,3000
2015,March,01,1.40,2500,3500,3000
2015,November,11,1.40,2500,3500,3000
2015,May,23,1.40,2500,3500,3000
2018,May,01,1.80,2500,2800,2600
2018,March,24,1.80,2500,2800,2600
2015,April,29,1.80,2500,3500,3000
2018,March,21,1.90,2500,2800,2600
2015,March,13,1.90,2500,3500,3000
2018,March,31,2.00,2500,2800,2600
2015,February,28,2.00,2500,3500,3000
2018,April,06,2.10,2500,2800,2600
2015,March,02,2.10,2500,3500,3000
2015,March,04,2.10,2500,3500,3000
2015,April,14,2.10,2500,3500,3000
2015,February,26,2.10,2500,3500,3000
2015,May,30,2.10,2500,3500,3000
2018,April,18,2.20,2500,2800,2600
2018,March,30,2.20,2500,2800,2600
2015,November,13,2.20,2500,3500,3000
2015,June,18,2.20,2500,3500,3000
2016,January,01,2.30,2500,3500,3000
2018,March,11,2.40,2500,2800,2600
2018,April,20,2.40,2500,2800,2600
2015,June,01,2.40,2500,3500,3000
2015,March,09,2.40,2500,3500,3000
2015,October,14,2.40,2500,3500,3000
2015,October,15,2.40,2500,3500,3000
2015,October,21,2.40,2500,3500,3000
2015,October,07,2.40,2600,3500,3000
2018,March,17,2.50,2500,2800,2600
2015,October,29,2.50,2500,3500,3000
2015,December,30,2.50,2500,3500,3000
2015,October,31,2.50,2500,3500,3000
2015,October,24,2.60,2500,3500,3000
2015,April,30,2.60,2500,3500,3000
2015,December,31,2.60,2500,3500,3000
2018,April,19,2.70,2500,2800,2600
2015,April,18,2.70,2500,3500,3000
2015,May,29,2.70,2500,3500,3000
2018,April,10,2.80,2500,2800,2600
2018,March,29,2.80,2500,2800,2600
2015,February,06,2.90,2500,3500,3000
2015,May,06,2.90,2500,3500,3000
2015,January,26,2.90,2500,3500,3000
2015,December,10,3.00,2500,3500,3000
2015,February,11,3.00,2500,3500,3000
2015,November,18,3.00,2500,3500,3000
2015,December,23,3.00,2500,3500,3000
2015,December,24,3.00,2500,3500,3000
2015,February,25,3.00,2500,3500,3000
2015,April,02,3.10,2500,3500,3000
2015,September,11,3.10,2500,3500,3000
2015,April,17,3.10,2500,3500,3000
2015,December,26,3.10,2500,3500,3000
2015,November,14,3.20,2500,3500,3000
2014,June,20,3.20,2500,3500,3000
2018,April,17,3.30,2500,2800,2600
2018,April,28,3.30,2500,2800,2600
2015,April,15,3.30,2500,3500,3000
