year,month,date,arrival,min,max,modal
2014,July,17,12.00,2000,2400,2400
2014,July,21,5.00,1600,1800,1700
2014,July,29,5.00,1600,1800,1700
2015,March,22,6.00,550,650,600
2014,July,30,7.00,1600,1800,1700
2014,August,14,7.50,2750,2800,2775
2015,May,10,8.00,500,600,550
2014,August,03,8.00,1600,1800,1700
2015,March,21,9.00,550,650,600
2015,April,30,10.00,400,500,450
2015,April,26,10.00,410,430,420
2015,March,23,10.00,500,550,525
2015,March,24,10.00,500,550,525
2015,December,17,10.00,900,1000,1000
2015,December,22,10.00,900,1100,1000
2014,August,04,10.00,1600,1700,1650
2014,July,18,10.00,1600,1700,1650
2014,October,07,10.00,2000,2200,2100
2014,August,09,10.00,2100,2200,2150
2014,October,19,10.00,2200,2300,2250
2014,October,12,10.00,2250,2300,2275
2014,September,01,10.00,2400,2500,2450
2014,August,25,10.00,2450,2500,2475
2014,August,16,10.00,2700,2800,2750
2014,August,18,10.00,2700,2900,2800
2015,April,22,11.00,420,440,430
2014,August,01,11.00,1600,1800,1700
2015,May,01,12.00,400,450,425
2015,May,03,12.00,400,450,430
2015,April,29,12.00,400,500,450
2015,April,23,12.00,420,440,430
2015,May,05,12.00,500,600,550
2015,May,09,12.00,500,600,550
2015,March,20,12.00,550,650,600
2015,September,21,12.00,800,820,814
2014,August,02,12.00,1550,1700,1650
2014,July,19,12.00,1600,1700,1650
2014,July,22,12.00,1600,1800,1700
2014,July,25,12.00,1600,1800,1700
2014,July,26,12.00,1600,1800,1750
2014,October,26,12.00,2100,2200,2150
2014,October,27,12.00,2100,2200,2150
2014,October,20,12.00,2150,2200,2175
2014,August,10,12.00,2200,2300,2250
2014,August,15,12.00,2200,2300,2250
2014,November,17,12.00,2200,2300,2250
2014,August,21,12.00,2200,2300,2250
2014,September,05,12.00,2250,2300,2275
2014,August,24,12.00,2400,2500,2450
2014,August,31,12.00,2400,2500,2450
2014,August,17,12.00,2700,2800,2750
2015,April,25,13.00,400,430,410
2015,April,28,13.00,400,500,450
2015,April,21,13.00,430,440,435
2015,May,08,13.00,480,580,540
2014,November,02,13.00,2100,2200,2150
2014,October,18,13.00,2200,2250,2230
2014,September,06,13.00,2200,2300,2250
2015,April,15,14.00,400,450,425
2015,April,27,14.00,400,500,450
2015,April,17,14.00,410,420,415
2015,April,24,14.00,410,430,420
2015,April,19,14.00,430,440,435
2015,May,04,14.00,550,600,570
2014,September,19,14.00,2000,2100,2050
2014,October,24,14.00,2100,2200,2150
2014,October,17,14.00,2300,2400,2350
2014,September,02,14.00,2400,2500,2450
2014,August,23,14.00,2400,2500,2450
2014,August,29,14.00,2400,2500,2450
2014,August,20,14.00,2500,2600,2550
2014,August,22,14.00,2500,2600,2550
2015,April,14,15.00,400,450,425
2015,May,02,15.00,400,450,430
2015,April,16,15.00,400,460,430
2015,April,18,15.00,410,420,415
2015,March,08,15.00,450,500,475
2015,April,01,15.00,500,550,525
2015,May,29,15.00,500,600,550
2015,November,08,15.00,1050,1150,1100
2015,November,18,15.00,1100,1200,1150
2014,September,03,15.00,2400,2500,2450
2015,April,20,16.00,430,440,435
2015,May,24,16.00,430,450,440
2015,March,13,16.00,600,650,625
2014,September,16,16.00,2000,2100,2050
2014,October,08,16.00,2000,2200,2100
2014,October,25,16.00,2100,2200,2150
2014,October,09,16.00,2250,2300,2275
2014,October,16,16.00,2300,2400,2350
2014,August,19,16.00,2400,2500,2450
2015,April,12,17.00,410,450,430
2015,May,31,17.00,420,440,430
2015,June,10,17.00,700,800,750
2015,June,14,17.00,750,800,780
2014,October,23,17.00,2100,2200,2150
2014,October,10,17.00,2200,2300,2250
2014,November,01,17.00,2500,2600,2550
2015,May,17,18.00,420,440,430
2015,April,11,18.00,420,450,430
2015,May,25,18.00,420,460,440
2015,May,30,18.00,450,550,500
2015,May,28,18.00,500,700,600
2015,March,15,18.00,530,550,540
2015,June,06,18.00,600,650,620
2015,June,09,18.00,600,650,620
2015,July,12,18.00,720,800,760
2015,June,13,18.00,750,800,780
2015,July,19,18.00,800,900,850
2014,September,10,18.00,2000,2050,2025
2014,November,13,18.00,2300,2350,2325
2014,August,13,18.00,2500,2600,2550
2015,April,10,19.00,420,440,430
2015,April,05,19.00,450,500,475
2015,April,08,20.00,420,450,435
2015,March,01,20.00,450,500,475
2019,March,11,20.00,450,500,475
2015,February,15,20.00,500,600,550
2015,March,14,20.00,520,550,535
2015,March,12,20.00,550,600,575
2015,March,18,20.00,550,700,625
2015,March,19,20.00,550,700,625
2015,January,14,20.00,600,700,650
2017,July,28,20.00,700,720,700
2017,September,16,20.00,750,800,750
2015,October,04,20.00,790,800,795
2015,September,20,20.00,800,820,810
2015,September,27,20.00,800,820,810
2015,November,01,20.00,850,880,870
2015,November,22,20.00,1100,1200,1150
2014,December,14,20.00,1200,1300,1250
2014,September,15,20.00,1950,2000,1975
2014,September,09,20.00,2000,2100,2050
2014,August,12,20.00,2170,2200,2180
2014,October,13,20.00,2200,2300,2250
2014,November,25,20.00,2200,2300,2250
2014,October,29,20.00,2300,2350,2325
2014,September,04,20.00,2300,2350,2330
2014,November,23,20.00,2300,2400,2350
2014,August,30,20.00,2300,2400,2350
2014,November,10,20.00,2350,2400,2370
2014,October,30,20.00,2500,2600,2550
2015,May,23,21.00,420,460,440
2015,May,22,21.00,430,450,440
2015,June,05,21.00,600,650,620
2015,June,07,21.00,620,650,630
2014,September,25,21.00,2000,2100,2050
