year,month,date,arrival,min,max,modal
2018,August,08,1.80,2800,3000,2950
2018,August,09,1.80,2800,3000,2950
2018,August,10,1.80,2800,3000,2950
2018,August,12,1.80,2800,3000,2950
2018,June,11,2.00,2800,3000,2900
2018,July,02,2.00,2800,3000,2950
2018,August,05,2.00,2800,3000,2950
2018,August,06,2.00,2800,3000,2950
2018,August,07,2.00,2800,3000,2950
2018,June,09,2.00,2800,3000,2950
2018,June,10,2.00,2800,3000,2950
2018,August,17,2.00,2800,3000,2950
2018,July,23,2.00,2800,3000,2950
2018,August,03,2.20,2800,3000,2950
2018,August,04,2.20,2800,3000,2950
2018,June,07,2.20,2800,3000,2950
2018,June,08,2.20,2800,3000,2950
2018,August,16,2.20,2800,3000,2950
2018,July,21,2.20,2800,3000,2950
2018,July,22,2.20,2800,3000,2950
2018,July,20,2.40,2800,3000,2950
2018,August,02,2.50,2800,3000,2950
2018,June,04,2.50,2800,3000,2950
2018,June,06,2.50,2800,3000,2950
2018,September,07,2.50,2800,3000,2950
2018,September,09,2.50,2800,3000,2950
2018,August,15,2.50,2800,3000,2950
2018,July,18,2.50,2800,3000,2950
2018,July,19,2.50,2800,3000,2950
2018,August,01,2.60,2800,3000,2950
2018,June,02,2.60,2800,3000,2950
2018,September,05,2.80,2800,3000,2950
2018,September,06,2.80,2800,3000,2950
2018,August,14,2.80,2800,3000,2950
2018,July,16,2.80,2800,3000,2950
2018,July,17,2.80,2800,3000,2950
2018,September,17,2.80,2800,3000,2950
2018,September,18,2.80,2800,3000,2950
2018,September,19,2.80,2800,3000,2950
2018,August,26,2.80,2800,3000,2950
2018,July,27,2.80,2800,3000,2950
2018,May,28,2.80,2800,3000,2950
2018,May,29,2.80,2800,3000,2950
2019,July,09,2.80,3200,3600,3450
2019,July,10,2.80,3200,3600,3450
2018,September,04,3.00,2800,3000,2950
2018,August,13,3.00,2800,3000,2950
2018,July,14,3.00,2800,3000,2950
2018,July,15,3.00,2800,3000,2950
2018,September,15,3.00,2800,3000,2950
2018,August,24,3.00,2800,3000,2950
2018,May,25,3.00,2800,3000,2950
2018,July,26,3.00,2800,3000,2950
2018,June,26,3.00,2800,3000,2950
2018,May,27,3.00,2800,3000,2950
2018,March,17,3.00,3200,3500,3400
2018,March,18,3.00,3200,3500,3400
2019,July,08,3.00,3200,3600,3450
2018,April,27,3.00,3300,3500,3350
2018,September,03,3.20,2800,3000,2950
2018,July,13,3.20,2800,3000,2950
2018,September,14,3.20,2800,3000,2950
2018,August,23,3.20,2800,3000,2950
2018,May,24,3.20,2800,3000,2950
2018,July,25,3.20,2800,3000,2950
2018,June,25,3.20,2800,3000,2950
2018,March,16,3.20,3200,3500,3400
2019,July,04,3.20,3200,3600,3450
2019,July,07,3.20,3200,3600,3450
2018,April,26,3.20,3300,3500,3350
2018,July,12,3.40,2800,3000,2950
2018,June,24,3.40,2800,3000,2950
2019,July,17,3.40,3200,3600,3450
2018,April,25,3.40,3300,3500,3350
2018,July,04,3.50,2800,3000,2950
2018,August,20,3.50,2800,3000,2950
2018,August,21,3.50,2800,3000,2950
2018,May,23,3.50,2800,3000,2950
2018,July,24,3.50,2800,3000,2950
2018,August,31,3.50,2800,3000,2950
2019,July,15,3.50,3200,3600,3450
2019,July,16,3.50,3200,3600,3450
2019,July,05,3.50,3200,3600,3600
2018,July,11,3.60,2800,3000,2950
2018,June,21,3.60,2800,3000,2950
2018,August,29,3.60,2800,3000,2950
2018,March,15,3.60,3200,3500,3400
2019,July,14,3.60,3200,3600,3450
2019,June,26,3.60,3200,3600,3450
2019,June,28,3.60,3200,3600,3450
2018,April,02,3.60,3300,3500,3350
2018,April,24,3.60,3300,3500,3350
2018,July,10,3.80,2800,3000,2950
2018,August,19,3.80,2800,3000,2950
2018,June,20,3.80,2800,3000,2950
2018,August,28,3.80,2800,3000,2950
2018,March,14,3.80,3200,3500,3400
2019,June,24,3.80,3200,3600,3450
2018,March,31,3.80,3300,3500,3350
2018,July,08,4.00,2800,3000,2950
2018,July,09,4.00,2800,3000,2950
2018,September,11,4.00,2800,3000,2950
2018,August,18,4.00,2800,3000,2950
2018,June,19,4.00,2800,3000,2950
2018,June,22,4.00,2800,3000,2950
2018,May,22,4.00,2800,3000,2950
2018,August,27,4.00,2800,3000,2950
2018,March,13,4.00,3200,3500,3400
2018,March,24,4.00,3200,3500,3400
2019,July,11,4.00,3200,3600,3450
2019,July,12,4.00,3200,3600,3450
2019,June,20,4.00,3200,3600,3450
2019,June,21,4.00,3200,3600,3450
2019,June,23,4.00,3200,3600,3450
2018,March,29,4.00,3300,3500,3350
2018,July,07,4.20,2800,3000,2950
2018,December,17,4.20,2800,3000,2950
2018,December,18,4.20,2800,3000,2950
2018,May,21,4.20,2800,3000,2950
2018,October,21,4.20,2800,3000,2950
2018,October,23,4.20,2800,3000,2950
2018,March,12,4.20,3200,3500,3400
2018,February,14,4.20,3200,3500,3400
2018,March,23,4.20,3200,3500,3400
2019,June,19,4.20,3200,3600,3450
2018,April,21,4.20,3300,3500,3350
2018,March,28,4.20,3300,3500,3350
2018,June,17,4.30,2800,3000,2950
2018,June,18,4.30,2800,3000,2950
2018,March,27,4.40,3300,3500,3300
2018,December,15,4.50,2800,3000,2950
2018,December,16,4.50,2800,3000,2950
2018,May,19,4.50,2800,3000,2950
2018,October,19,4.50,2800,3000,2950
2019,May,16,4.50,2850,2960,2920
2018,March,11,4.50,3200,3500,3400
2018,March,22,4.50,3200,3500,3400
2019,June,18,4.50,3200,3600,3450
2019,July,22,4.50,3200,3600,3450
2018,July,06,4.60,2800,3000,2950
2018,December,14,4.60,2800,3000,2950
2018,May,18,4.60,2800,3000,2950
2018,March,10,4.60,3200,3500,3400
2018,March,21,4.60,3200,3500,3400
2018,February,25,4.60,3200,3500,3400
2019,June,17,4.60,3200,3600,3450
2019,July,21,4.60,3200,3600,3450
2018,March,26,4.60,3300,3500,3350
2018,June,15,4.70,2800,3000,2950
2018,April,20,4.70,3300,3500,3350
2018,December,13,4.80,2800,3000,2950
2019,May,15,4.80,2850,2960,2920
2018,March,08,4.80,3200,3500,3400
2018,March,20,4.80,3200,3500,3400
2018,February,27,4.80,3200,3500,3400
2019,June,16,4.80,3200,3600,3450
2019,July,19,4.80,3200,3600,3450
2019,July,20,4.80,3200,3600,3450
2017,December,05,4.80,3800,4000,3850
2018,June,14,5.00,2800,3000,2950
2018,May,17,5.00,2800,3000,2950
2019,May,14,5.00,2850,2960,2920
2018,March,09,5.00,3200,3500,3400
2018,February,12,5.00,3200,3500,3400
2018,March,19,5.00,3200,3500,3400
2018,February,21,5.00,3200,3500,3400
2018,March,25,5.00,3200,3500,3400
2018,February,26,5.00,3200,3500,3400
2019,June,15,5.00,3200,3600,3450
2019,July,18,5.00,3200,3600,3450
2019,July,23,5.00,3200,3600,3450
2018,April,18,5.00,3300,3500,3350
2018,April,19,5.00,3300,3500,3350
2017,December,04,5.00,3800,4000,3850
2018,June,13,5.20,2800,3000,2950
2018,May,16,5.20,2800,3000,2950
2018,October,16,5.20,2800,3000,2950
2019,May,13,5.20,2850,2960,2920
2018,February,11,5.20,3200,3500,3400
2019,June,14,5.20,3200,3600,3450
2018,April,17,5.20,3300,3500,3350
2017,November,29,5.20,3800,4000,3850
2018,May,15,5.40,2800,3000,2950
2019,June,13,5.40,3200,3600,3450
2018,November,01,5.50,2800,3000,2950
2018,June,12,5.50,2800,3000,2950
2018,October,15,5.50,2800,3000,2950
2018,February,20,5.50,3200,3500,3400
2019,August,02,5.50,3200,3600,3450
2017,November,28,5.50,3800,4000,3850
2018,December,10,5.60,2800,3000,2950
2019,May,10,5.60,2850,2960,2920
2019,May,12,5.60,2850,2960,2920
2018,February,10,5.60,3200,3500,3400
2019,August,01,5.60,3200,3600,3450
2019,June,12,5.60,3200,3600,3450
2018,April,16,5.60,3300,3500,3350
2018,May,14,5.80,2800,3000,2950
2018,October,30,5.80,2800,3000,2950
2019,May,09,5.80,2850,2960,2920
2018,February,19,5.80,3200,3500,3400
2019,July,31,5.80,3200,3600,3450
2017,November,26,5.80,3800,4000,3850
2017,November,27,5.80,3800,4000,3850
2018,December,06,6.00,2800,3000,2950
2018,December,07,6.00,2800,3000,2950
2018,October,12,6.00,2800,3000,2950
2018,May,13,6.00,2800,3000,2950
2018,October,29,6.00,2800,3000,2950
2019,May,08,6.00,2850,2960,2920
2018,February,08,6.00,3200,3500,3400
2018,February,09,6.00,3200,3500,3400
2018,February,18,6.00,3200,3500,3400
2019,June,11,6.00,3200,3600,3450
2019,July,30,6.00,3200,3600,3450
2018,April,14,6.00,3300,3500,3350
2017,November,22,6.00,3800,4000,3850
2018,May,12,6.20,2800,3000,2950
2018,February,17,6.20,3200,3500,3400
