year,month,date,arrival,min,max,modal
2018,April,20,1.00,900,1200,1050
2018,March,27,1.10,900,1200,1050
2018,March,10,1.50,900,1200,1050
2018,April,13,1.60,900,1200,1050
2018,April,21,1.80,900,1200,1050
2018,April,27,1.80,900,1200,1050
2018,April,04,1.90,900,1200,1050
2018,April,11,1.90,900,1200,1050
2018,April,18,1.90,900,1200,1050
2018,April,12,2.10,900,1200,1050
2018,April,25,2.30,900,1200,1050
2018,April,10,2.40,900,1200,1050
2018,April,28,2.50,900,1200,1050
2018,February,27,2.50,1100,1300,1200
2018,April,02,2.60,900,1200,1050
2018,March,05,3.30,900,1200,1050
2018,April,14,3.40,900,1200,1050
2018,March,15,3.40,900,1200,1050
2018,March,06,3.50,900,1200,1050
2018,April,16,3.80,900,1200,1050
2018,March,29,3.80,900,1200,1050
2018,April,06,4.00,900,1200,1050
2018,April,19,4.20,900,1200,1050
2018,March,23,4.40,900,1200,1050
2018,March,07,4.50,900,1200,1050
2018,February,26,4.60,1100,1300,1200
2018,March,11,4.80,900,1200,1050
2018,March,24,4.90,900,1200,1050
2018,April,09,5.10,900,1200,1050
2018,March,17,5.10,900,1200,1050
2018,April,17,5.30,900,1200,1050
2018,May,01,5.50,900,1200,1050
2018,March,16,5.50,900,1200,1050
2018,April,26,5.60,900,1200,1050
2018,March,31,5.70,900,1200,1050
2018,February,22,5.70,1100,1300,1200
2018,February,20,5.90,1100,1300,1200
2018,March,26,6.00,900,1200,1050
2018,March,01,6.00,1100,1300,1200
2018,April,23,6.30,900,1200,1050
2018,March,14,6.40,900,1200,1050
2018,March,13,6.80,900,1200,1050
2018,March,19,6.80,900,1200,1050
2018,March,28,6.80,900,1200,1050
2018,February,23,6.90,1100,1300,1200
2018,April,07,7.00,900,1200,1050
2018,February,28,7.10,1100,1300,1200
2018,March,09,7.30,900,1200,1050
2018,April,24,7.30,900,1200,1050
2018,March,30,7.30,900,1200,1050
2018,March,20,7.40,900,1200,1050
2018,March,21,7.70,900,1200,1050
2018,March,02,7.80,1100,1300,1200
2018,February,21,8.00,1100,1300,1200
2018,February,24,8.20,1100,1300,1200
2018,March,12,8.30,900,1200,1050
2018,March,03,8.50,900,1200,1050
2018,April,05,9.70,900,1200,1050
2018,March,08,10.60,900,1200,1050
2018,March,22,11.10,900,1200,1050
