year,month,date,arrival,min,max,modal
2014,June,26,34.00,1200,1300,1250
2016,April,27,40.00,2100,2180,2150
2014,January,06,5.00,1800,2000,1900
2014,March,01,5.00,2000,2200,2100
2014,July,07,5.00,2000,2200,2100
2014,June,07,5.00,2000,2200,2100
2014,June,12,5.00,2000,2200,2100
2014,January,02,6.00,1800,2000,1900
2014,June,09,6.00,2000,2200,2100
2014,January,16,6.00,2000,2200,2100
2014,February,18,6.00,2000,2200,2100
2014,February,24,6.00,2000,2200,2100
2014,February,05,6.00,2000,2300,2100
2014,June,05,6.00,2100,2300,2200
2014,January,17,6.50,2000,2200,2100
2014,June,01,7.00,2000,2200,2100
2014,May,02,7.00,2000,2200,2100
2014,March,05,7.00,2000,2200,2100
2014,May,05,7.00,2000,2200,2100
2014,July,08,7.00,2000,2200,2100
2014,June,08,7.00,2000,2200,2100
2014,June,16,7.00,2000,2200,2100
2014,April,17,7.00,2000,2200,2100
2014,January,18,7.00,2000,2200,2100
2014,May,28,7.00,2000,2200,2100
2014,February,13,7.50,2000,2200,2100
2014,July,13,7.50,2000,2200,2100
2014,June,25,7.50,2000,2200,2100
2014,June,04,8.00,2000,2200,2100
2014,April,05,8.00,2000,2200,2100
2014,June,06,8.00,2000,2200,2100
2014,July,10,8.00,2000,2200,2100
2014,June,11,8.00,2000,2200,2100
2014,May,12,8.00,2000,2200,2100
2014,March,13,8.00,2000,2200,2100
2014,June,14,8.00,2000,2200,2100
2014,May,17,8.00,2000,2200,2100
2014,May,21,8.00,2000,2200,2100
2014,May,23,8.00,2000,2200,2100
2014,May,25,8.00,2000,2200,2100
2014,April,28,8.00,2000,2200,2100
2014,May,29,8.00,2000,2200,2100
2014,June,30,8.00,2000,2200,2100
2014,March,31,8.00,2000,2200,2100
2014,February,01,8.50,1900,2100,2000
2014,February,04,9.00,1900,2100,2000
2014,June,02,9.00,2000,2200,2100
2014,July,03,9.00,2000,2200,2100
2014,March,03,9.00,2000,2200,2100
2014,July,06,9.00,2000,2200,2100
