year,month,date,arrival,min,max,modal
2014,August,16,1.00,2000,2200,2100
2014,April,29,15.00,1200,1800,1500
2014,February,13,20.00,700,900,800
2014,March,13,20.00,800,1000,900
2014,May,15,20.00,1600,1900,1800
2014,August,21,20.00,2400,2900,2700
2014,February,11,22.00,800,950,800
2014,January,02,25.00,1500,1700,1600
2014,May,13,25.00,1600,1800,1700
2014,May,19,25.00,1700,1900,1800
2022,April,02,26.00,2000,2100,2050
2022,March,30,28.00,1700,2200,2150
2022,April,08,28.00,1800,2200,2150
2014,February,20,30.00,650,700,650
2014,February,10,30.00,800,900,850
2014,March,26,30.00,1300,1500,1400
2014,February,26,32.00,1000,1200,1100
2022,March,16,32.00,1700,2200,2100
2014,March,06,40.00,900,1000,950
2014,January,01,45.00,1600,1700,1650
