year,month,date,arrival,min,max,modal
2019,March,16,141.28,300,1000,600
2015,November,22,1.50,2000,2700,2330
2023,November,28,4.10,1500,2800,2300
2015,November,24,6.00,2000,2700,2300
2015,September,19,6.40,530,900,700
2015,September,20,7.20,270,700,530
2015,February,22,7.40,700,1000,800
2015,August,27,7.50,870,1470,1200
2015,November,20,7.50,3200,4000,3700
2015,May,03,7.70,330,1700,700
2015,May,20,7.70,1300,2000,1700
2015,August,30,7.90,330,1000,700
2015,September,17,8.00,530,800,700
2015,September,10,8.60,200,600,330
2015,September,23,8.80,330,1000,700
2015,August,31,9.00,330,1000,700
2015,January,16,9.00,350,700,450
2015,September,14,9.00,700,1130,1000
2015,September,21,9.10,270,700,530
2015,January,20,9.40,330,800,660
2015,September,11,9.40,530,800,700
2015,September,04,9.50,330,870,530
2015,May,24,9.60,2330,3000,2700
2015,September,09,9.70,260,700,530
2015,August,26,9.80,870,1470,1200
2015,September,07,9.90,260,700,530
2015,January,23,9.90,330,1330,670
2015,January,19,10.00,330,800,660
2015,May,06,10.20,1000,2000,1700
2015,January,04,10.30,330,1000,670
2015,January,05,10.30,330,1000,670
2015,September,22,10.40,330,1000,700
2016,February,16,10.50,270,700,530
2015,November,01,10.50,1330,2000,1700
2015,November,21,10.50,3330,4000,3700
2015,April,30,10.60,330,1000,700
2015,January,11,10.60,350,900,650
2015,May,28,10.60,700,1330,1000
2015,May,04,10.80,330,1700,700
2015,July,18,10.80,1000,2000,1330
2015,September,06,11.20,200,470,330
2015,August,02,11.20,330,1000,700
2015,May,13,11.20,1000,1800,1330
2015,May,09,11.40,1000,1700,1300
2015,January,29,11.70,330,800,670
2015,February,23,11.70,700,1000,800
2015,April,22,11.70,1000,1700,1300
2015,May,08,11.80,1000,1700,1330
2015,September,13,12.00,330,1000,700
2015,September,16,12.00,330,1000,700
2015,April,28,12.00,700,1260,1000
2015,December,01,12.00,930,1470,1200
2015,May,25,12.00,2330,3000,2700
2015,November,05,12.00,2330,3200,2900
2015,August,23,12.10,700,1330,1000
2014,December,14,12.20,350,700,450
2014,December,24,12.30,200,550,350
2015,January,28,12.40,330,1000,670
2015,September,08,12.50,260,700,530
2015,August,28,12.50,330,1000,700
2015,May,07,12.50,1000,2000,1700
2015,October,04,12.50,1200,1470,1330
2015,August,10,12.60,200,530,330
2015,January,08,12.70,450,850,660
2014,December,12,12.70,450,1200,870
2015,May,23,12.70,2330,3000,2700
2015,May,26,12.80,1000,1700,1330
2015,August,24,13.00,700,1330,1000
2015,September,03,13.10,200,600,330
2019,January,09,13.25,1000,2300,1600
2015,May,29,13.40,700,1330,1000
2015,June,28,13.40,1000,2000,1700
2015,May,12,13.50,1000,1700,1330
2015,May,22,13.50,2330,3000,2700
2015,September,05,13.70,330,870,530
2014,November,16,13.70,350,870,600
2015,November,11,13.70,3000,3700,3300
2015,May,21,13.80,1300,2000,1700
2015,April,18,14.00,330,1000,660
2015,June,07,14.00,330,1000,700
2015,September,18,14.00,530,800,700
2015,August,22,14.00,700,1330,1000
2015,January,18,14.10,330,800,660
2015,April,20,14.10,330,1000,700
2015,November,25,14.20,1700,2330,2000
2015,November,14,14.20,3000,3700,3330
2015,September,01,14.30,130,400,270
2014,April,11,14.40,500,600,550
2015,February,20,14.50,530,800,700
2015,May,02,14.60,330,1000,700
2015,August,09,14.70,200,530,330
2015,February,26,14.70,330,700,530
2015,May,27,14.80,1000,1700,1330
2015,September,12,15.00,330,1000,700
2015,September,15,15.00,330,1000,700
2015,August,21,15.00,330,1000,700
2015,November,29,15.00,700,1330,1000
2015,December,04,15.00,930,1530,1200
2015,October,24,15.00,1000,1700,1300
2015,November,10,15.00,1700,2330,2000
2015,November,19,15.00,2000,2700,2330
2015,November,17,15.00,2700,3330,3000
2015,November,06,15.00,3000,3600,3300
2015,November,12,15.00,3000,3700,3300
2015,June,11,15.30,700,1330,1000
2015,July,12,15.30,1330,2330,1700
2015,August,25,15.50,530,1200,870
2015,June,14,15.60,700,1330,1000
2015,December,09,15.70,1000,1700,1330
2015,November,26,15.70,1300,2000,1700
2014,April,19,15.80,800,1000,900
2015,May,11,15.80,1000,1700,1330
2015,August,19,15.90,270,800,600
2015,September,02,16.00,200,600,330
2015,November,27,16.00,1300,2000,1700
2015,January,30,16.20,330,800,670
2014,March,23,16.40,200,450,300
2015,August,20,16.40,330,1000,700
2015,May,17,16.40,700,1130,1000
2014,April,02,16.40,1000,1130,1062
2015,June,02,16.50,700,1330,1000
2015,December,06,16.50,700,1330,1000
2015,October,16,16.50,700,1330,1000
2015,October,17,16.50,1000,1700,1330
2014,December,05,16.50,1300,2300,1900
2015,November,02,16.50,1330,2000,1700
2015,November,16,16.50,3000,3700,3330
2015,November,15,16.50,5700,8700,6700
2015,August,01,16.70,330,1000,700
2015,July,11,16.70,1700,2470,2330
2015,January,17,16.80,350,700,450
2015,June,27,16.80,1000,2000,1700
2014,May,04,16.90,700,900,800
2015,November,30,17.00,530,1000,700
2014,April,07,17.00,600,700,650
2015,May,15,17.00,700,1130,1000
2015,June,10,17.10,700,1330,1000
2015,June,13,17.10,700,1330,1000
2014,April,12,17.20,400,600,500
2016,January,17,17.20,1000,1700,1330
2015,August,16,17.40,330,700,530
2015,June,23,17.40,700,1330,1000
2015,August,11,17.70,200,530,330
2015,July,02,17.70,1000,1770,1330
2015,July,13,17.70,1330,2330,1700
2014,February,21,18.00,130,200,165
2015,February,01,18.00,330,700,530
2015,January,12,18.00,350,900,650
2015,January,13,18.00,650,900,650
2015,May,16,18.00,700,1130,1000
2014,November,19,18.00,730,1800,1300
2015,July,09,18.00,1700,2470,2330
2015,July,10,18.00,1700,2470,2330
2015,June,15,18.10,700,1330,1000
2015,January,27,18.30,330,1000,670
2015,January,22,18.30,330,1330,670
2015,May,14,18.30,700,1130,1000
2014,November,24,18.50,700,1300,1000
2015,June,05,18.60,330,1000,700
2015,June,09,18.60,700,1330,1000
2014,December,22,18.70,200,550,350
2015,August,18,18.70,270,800,600
2014,November,15,18.70,450,1000,730
2015,October,18,18.70,1000,1700,1330
2015,October,20,18.70,1000,1700,1330
2015,March,08,18.80,330,700,460
2015,July,29,18.90,700,1330,1000
2015,June,22,19.00,700,1330,1000
2015,October,22,19.00,1000,1700,1330
2015,October,23,19.00,1000,1700,1330
2015,July,03,19.00,1000,1770,1330
2015,July,08,19.00,1700,2470,2330
2014,December,21,19.20,250,600,450
2015,February,19,19.20,330,700,460
2014,February,02,19.30,130,270,200
2015,July,16,19.30,1000,2000,1330
2015,June,08,19.40,330,1000,700
2015,July,05,19.40,1000,2000,1700
2015,July,06,19.40,1330,2300,1700
2016,March,08,19.50,330,700,470
2014,November,28,19.50,600,1400,1000
2015,June,16,19.50,700,1460,1200
2015,October,11,19.50,1200,1800,1600
2015,May,19,19.70,1000,1700,1330
2015,July,25,19.90,1000,2000,1300
2015,April,17,20.00,330,700,460
2015,February,27,20.00,330,700,530
2015,June,06,20.00,330,1000,700
2015,August,29,20.00,330,1000,700
2014,April,23,20.00,400,500,450
2014,March,24,20.00,400,500,450
2014,April,08,20.00,600,800,700
2015,August,05,20.20,330,700,530
2015,February,10,20.20,330,800,460
2014,December,15,20.20,350,700,450
2014,November,25,20.20,450,1200,870
2015,November,28,20.20,1000,1700,1330
2015,November,23,20.20,2000,2700,2330
2017,February,03,20.30,400,1600,1200
2015,July,19,20.30,1000,2000,1330
2015,June,03,20.40,700,1330,1000
2015,July,26,20.40,700,1330,1000
2015,June,29,20.40,1000,2000,1700
2015,July,01,20.50,1000,1770,1330
2015,July,20,20.60,1000,2000,1330
2014,December,16,20.70,400,870,600
2014,April,24,20.80,700,800,750
2015,July,15,20.80,1330,2330,1700
2015,June,04,21.00,700,1330,1000
2014,July,30,21.00,2000,4300,3150
2024,March,16,21.15,1300,1900,1700
2024,March,23,21.25,1400,1800,1600
2015,January,14,21.30,330,1000,670
2014,April,15,21.30,400,600,450
2015,June,19,21.30,700,1330,1000
2015,March,23,21.40,330,700,460
2015,July,21,21.50,1000,2000,1330
2014,December,17,21.60,200,500,300
2014,April,10,21.60,500,600,550
2014,December,25,21.70,350,700,450
2014,April,05,21.70,400,500,450
2015,August,13,21.80,130,400,260
2015,February,25,21.80,330,800,700
2015,June,26,21.80,1000,2000,1700
2015,August,06,21.90,200,530,330
2015,August,07,21.90,200,530,330
2015,February,05,21.90,330,700,530
2015,August,15,21.90,330,700,530
2015,March,09,22.00,330,700,460
2015,January,07,22.00,380,900,650
2015,October,25,22.00,1000,1700,1300
2015,July,04,22.00,1000,2000,1700
2022,January,01,22.17,1000,3800,2500
2015,February,15,22.20,330,1000,700
2017,February,04,22.20,400,1300,800
2015,May,30,22.20,700,1330,1000
2024,March,18,22.36,1600,2000,1800
2015,July,30,22.40,530,1000,700
2015,July,14,22.40,1330,2330,1700
2014,March,25,22.50,300,400,350
2014,December,10,22.50,700,1300,1000
2014,December,11,22.50,700,1300,1000
2015,October,21,22.50,930,1470,1200
2015,November,09,22.50,1700,2330,2000
2015,November,13,22.50,3000,3700,3300
2015,February,06,22.90,330,700,530
2015,June,24,23.00,1000,2000,1700
2015,August,12,23.10,130,400,260
2015,February,18,23.20,330,700,460
2015,August,17,23.20,330,700,530
2016,February,26,23.20,330,700,530
2015,January,15,23.40,350,700,450
2016,July,10,23.40,500,1000,800
2015,June,20,23.40,700,1330,1000
2014,April,20,23.50,700,900,800
2014,May,01,23.50,850,1000,920
2016,July,14,23.60,800,1200,1000
2015,August,08,23.70,200,530,330
2014,November,30,23.70,700,1450,1100
2014,March,09,23.80,130,260,195
2016,July,18,23.80,600,900,700
2019,December,02,23.86,800,3000,2000
2015,July,17,23.90,1000,2000,1330
2015,January,10,24.00,350,700,450
2015,June,25,24.00,1000,2000,1700
2015,June,18,24.20,700,1330,1000
2015,February,07,24.30,330,700,530
2017,November,11,24.45,1600,4600,2800
2017,January,07,24.50,200,530,400
2014,December,20,24.60,200,550,350
2015,January,01,24.70,350,700,450
2014,September,20,24.70,400,900,700
2014,December,23,24.80,150,450,300
2016,January,23,25.00,330,700,530
2015,February,09,25.00,330,1000,700
2015,November,03,25.00,1000,1700,1300
2015,December,23,25.00,1000,1700,1330
2015,December,18,25.00,1330,2000,1700
2015,November,04,25.00,1700,2330,2000
2015,November,08,25.00,1700,2330,2000
2015,November,07,25.00,2330,4530,2930
2015,August,03,25.10,330,1000,700
2015,August,14,25.20,200,530,330
2017,January,16,25.20,260,660,530
2015,February,02,25.20,330,700,530
2015,February,04,25.20,330,700,530
2014,January,02,25.30,200,350,265
2014,January,14,25.30,330,460,395
2022,September,19,25.45,1200,3900,2600
2014,February,08,25.50,200,330,265
2014,January,26,25.50,200,330,265
2014,January,30,25.50,200,330,265
2016,March,06,25.50,270,470,330
2016,February,07,25.50,330,730,530
2015,February,08,25.50,330,1000,700
2014,December,26,25.50,400,870,600
2016,January,16,25.50,1330,2700,2330
2015,July,28,25.60,700,1330,1000
2014,December,29,25.70,400,870,600
2014,December,09,25.70,1450,2000,1750
2015,March,01,25.80,330,700,530
2024,March,30,25.90,1500,1900,1700
2015,July,07,26.10,1300,2330,1700
2016,March,05,26.20,270,470,330
2015,March,15,26.50,330,700,460
2015,February,17,26.50,330,700,460
2014,April,01,26.50,500,600,550
2014,November,26,26.50,700,1300,1000
2024,March,22,26.50,1100,1500,1300
2014,December,06,26.50,1450,2000,1750
2015,July,24,26.60,1000,2000,1330
2015,March,07,26.70,130,530,330
2014,February,22,26.80,130,200,165
2014,April,06,27.00,300,460,380
2015,March,20,27.00,330,700,460
2016,March,09,27.00,330,700,470
2015,March,04,27.00,330,1000,700
2014,January,09,27.00,530,660,595
2014,January,10,27.00,530,660,595
2015,October,19,27.00,1000,1700,1330
2024,March,29,27.15,1400,1800,1600
2015,June,21,27.40,700,1330,1000
2015,July,23,27.40,1000,2000,1330
2022,January,15,27.48,600,1700,1200
2014,December,04,27.50,1300,2000,1700
2024,March,27,27.60,1400,1800,1600
2014,November,23,27.70,400,1100,750
2015,November,18,27.70,2530,3530,3200
2015,July,22,27.90,1000,2000,1330
2015,January,06,28.00,330,1330,670
2014,September,26,28.00,500,1000,700
2015,October,27,28.00,1000,1330,1200
2015,March,11,28.20,330,700,460
2014,April,25,28.20,600,800,700
2024,March,21,28.32,1100,1500,1300
2014,September,18,28.40,330,800,570
2014,January,18,28.50,260,400,330
2015,August,04,28.50,330,1000,700
2014,April,03,28.50,600,700,650
2014,April,04,28.50,600,700,650
2016,July,19,28.50,600,900,800
2016,February,24,28.50,700,1200,1000
2014,December,01,28.50,700,1300,1000
2016,January,06,28.50,3000,3700,3330
2015,February,28,28.60,330,700,530
2014,November,14,28.70,350,800,650
2015,May,18,29.10,1000,1700,1330
2016,February,21,29.20,130,470,330
2016,January,24,29.20,330,700,530
2015,March,12,29.40,200,530,330
2015,March,29,29.50,330,700,460
2014,November,18,29.50,700,1650,1200
2024,March,17,29.64,1400,1900,1700
2015,March,05,29.70,130,330,200
2022,January,02,29.74,900,3700,2500
2014,January,23,29.90,330,460,395
2016,February,22,30.00,130,470,330
2014,January,19,30.00,200,330,265
2016,January,28,30.00,200,700,530
2014,November,02,30.00,450,1000,730
2016,January,18,30.00,1000,1700,1330
2016,January,02,30.00,2330,3330,3000
2016,January,03,30.00,2330,3700,3000
2019,December,08,30.14,600,1600,1100
2016,December,14,30.20,330,660,530
2014,November,27,30.20,400,1100,750
2014,December,07,30.20,1400,2200,1800
2022,October,11,30.34,1200,3200,2000
2024,March,20,30.63,1200,1900,1600
2014,March,15,30.70,133,266,199
2015,December,26,30.70,1300,2000,1700
2014,January,24,30.90,260,460,360
2015,February,21,31.00,700,1000,800
2015,October,29,31.00,1000,1700,1300
2014,September,06,31.10,1000,1700,1400
2024,March,28,31.14,1200,1700,1500
2016,March,10,31.50,270,470,330
2016,January,21,31.50,530,870,700
2014,September,16,31.50,700,1300,1000
2017,January,02,31.70,200,400,260
2014,September,11,31.70,750,1450,1100
2014,December,18,31.90,200,500,300
2014,December,13,32.00,400,1000,700
2015,March,06,32.10,130,530,330
2015,March,25,32.10,330,850,700
2016,February,28,32.20,270,470,330
2016,January,22,32.20,330,700,530
2015,December,07,32.20,700,1330,1000
2014,March,29,32.20,800,1000,900
2015,October,28,32.20,1000,1470,1200
2015,January,09,32.40,450,800,670
2014,September,30,32.40,500,1000,700
2014,September,05,32.40,1000,1600,1300
2014,September,24,32.50,300,700,450
2014,September,27,32.50,330,800,570
2015,March,28,32.70,330,700,460
2015,March,27,32.70,330,1000,700
2014,September,17,32.70,450,1000,730
2014,April,09,32.70,600,700,650
