year,month,date,arrival,min,max,modal
2017,July,24,227.00,5500,6800,6200
2016,June,15,306.00,3000,4800,4200
2016,May,30,317.00,3200,4000,3700
2016,December,06,439.00,300,400,360
2016,September,23,450.00,960,1200,1100
2016,September,06,472.00,1300,1600,1500
2016,July,15,684.00,1900,2400,2300
2016,January,10,9.00,2700,3200,3000
2016,January,13,10.30,2700,3200,3000
2014,April,02,13.00,900,1100,1000
2016,January,03,14.50,4000,4800,4500
2016,January,18,15.80,1800,2400,2100
2017,February,27,18.00,1200,2000,1700
2015,November,21,18.00,5000,5600,5400
2015,November,19,20.00,4100,4800,4600
2015,March,22,22.00,800,1000,900
2015,July,03,22.30,1500,2000,1700
2024,March,21,27.00,800,1800,1400
2015,November,20,27.00,5000,5600,5400
2015,March,07,30.00,450,520,480
2024,March,20,30.00,800,2000,2000
2015,January,16,30.00,850,1000,950
2024,March,19,30.00,1000,2400,1780
2015,November,26,30.00,2800,3400,3200
2015,November,22,30.00,4100,4800,4600
2015,November,15,30.00,7800,9000,8500
2024,March,22,32.00,1400,1700,1460
2015,November,23,35.00,3800,4400,4200
2017,February,20,38.00,800,1560,1300
2015,March,23,39.00,780,920,850
2017,May,19,39.90,920,1280,1140
2015,March,04,40.00,300,400,350
2015,April,04,40.00,350,480,420
2015,March,06,40.00,400,500,470
2015,March,13,40.00,400,520,490
2015,March,08,40.00,450,520,480
2015,March,29,40.00,500,640,580
2015,April,11,40.00,600,780,700
2015,November,24,40.00,2700,3200,3000
2016,January,15,40.00,2800,3400,3200
2015,November,11,40.00,4800,5600,5200
2015,November,14,40.00,4900,5800,5400
2015,March,30,41.00,480,600,550
2024,March,25,41.00,1200,2000,1500
2015,March,17,42.00,450,600,550
2017,February,19,42.00,800,1400,1200
2017,February,26,42.00,1800,2920,2380
2015,March,31,43.00,400,550,500
2015,April,09,43.00,700,880,800
2017,February,22,44.00,1200,2120,1800
2014,February,20,45.00,200,270,250
2015,March,05,45.00,300,400,350
2015,March,12,45.00,400,500,470
2015,March,14,45.00,400,500,470
2015,March,15,45.00,400,500,470
2015,April,02,45.00,400,520,480
2015,February,28,45.00,400,560,490
2015,March,19,45.00,430,560,500
2015,March,02,45.00,480,600,550
2015,March,24,45.00,480,600,550
2015,April,05,45.00,500,680,600
2015,March,26,45.00,500,680,600
2015,March,27,45.00,500,680,600
2015,April,18,45.00,700,880,790
2017,February,11,45.00,800,1560,1200
2015,April,20,45.00,1500,1800,1700
2015,November,27,45.00,1900,2400,2200
2015,November,18,45.00,4100,4800,4600
2015,March,16,47.00,430,560,500
2017,February,14,47.00,1400,2080,1800
2017,February,13,48.00,1400,2000,1800
2014,February,28,49.00,340,400,380
2015,March,09,49.00,400,500,470
2015,April,06,49.00,500,600,560
2015,April,16,49.00,700,840,770
2015,April,07,49.00,780,920,850
2015,March,25,50.00,350,480,400
2015,March,11,50.00,400,500,470
2015,March,01,50.00,500,650,580
2015,February,17,50.00,850,1000,940
2016,January,16,50.00,2000,2600,2400
2015,November,10,50.00,2900,3600,3400
2017,February,15,51.00,900,1680,1320
2024,March,27,51.00,1780,2200,2100
2015,April,03,52.00,350,480,420
2015,April,08,52.00,700,880,800
2015,April,21,52.00,1500,1800,1700
2017,February,23,52.00,1600,2400,2100
2015,November,17,52.00,3500,4000,3800
2015,March,10,55.00,330,450,400
2015,February,27,55.00,400,550,480
2015,April,01,55.00,500,680,600
2015,March,28,55.00,500,680,600
2015,April,10,55.00,680,800,750
2015,April,19,55.00,800,1200,1050
2015,April,29,55.00,1000,1280,1100
2015,May,16,55.00,1250,1650,1500
2017,February,17,56.00,1000,1760,1400
2015,April,27,57.00,1500,1800,1700
2015,November,16,57.00,4800,5400,5200
2014,March,01,58.00,240,300,270
2015,February,23,58.00,480,600,550
2015,February,14,58.00,630,800,740
2014,April,16,58.00,850,1000,940
2015,May,05,58.00,1700,2200,2000
2015,February,15,59.00,630,800,740
2015,April,24,59.00,1500,1800,1700
2014,March,07,60.00,200,240,230
2015,March,18,60.00,430,560,500
2015,February,22,60.00,500,650,580
2015,February,12,60.00,600,760,700
2015,April,12,60.00,800,950,880
2017,February,10,60.00,900,1680,1320
2014,November,23,60.00,1300,1600,1500
2015,November,25,60.00,2700,3200,3000
2018,February,25,61.00,300,400,360
2017,February,09,62.00,900,1640,1300
