year,month,date,arrival,min,max,modal
2014,June,11,7.00,1500,1600,1550
2016,May,25,1.50,1600,1700,1650
2016,May,11,2.00,1500,1600,1550
2014,March,20,3.00,800,1000,900
2014,April,02,20.00,1400,1500,1450
2014,June,25,2.00,1400,1500,1450
2014,April,09,11.00,1400,1500,1450
2014,March,26,12.00,1400,1500,1450
2014,July,16,3.00,1400,1500,1450
2014,July,12,1.00,1500,1600,1550
2014,June,20,3.50,1500,1600,1550
2014,May,21,7.50,1500,1550,1525
2014,July,23,3.00,1400,1550,1450
2016,March,23,5.00,1550,1650,1600
2014,May,28,5.00,1500,1600,1550
2015,May,20,2.00,1500,1600,1550
2014,April,30,12.00,1400,1500,1450
2016,March,26,5.00,1500,1650,1600
2014,July,15,2.50,1500,1575,1550
2015,June,03,4.00,1500,1600,1550
2016,March,16,4.00,1500,1600,1550
2015,April,01,5.00,1500,1600,1550
2014,May,07,5.00,1500,1600,1550
2015,April,08,15.00,1500,1600,1550
2014,April,23,10.00,1500,1550,1530
2015,May,27,2.00,1600,1700,1650
2015,April,25,8.00,1500,1600,1550
2015,April,22,10.00,1700,1800,1750
2014,July,04,5.00,1500,1600,1550
2016,April,27,3.00,1600,1650,1625
2014,June,14,3.00,1500,1700,1600
2014,June,18,3.50,1500,1550,1525
2014,May,14,7.00,1300,1500,1400
2016,May,28,2.00,1500,1650,1600
2014,July,02,2.50,1400,1500,1450
2016,April,13,5.00,1400,1600,1550
2014,July,09,2.00,1400,1500,1450
2014,June,04,3.00,1500,1600,1550
2016,April,06,3.50,1200,1550,1525
2015,April,15,12.00,1350,1500,1450
