year,month,date,arrival,min,max,modal
2014,August,11,60.00,1640,1750,1650
2014,December,19,70.00,1750,1900,1850
2015,February,05,80.00,1750,1900,1850
2015,January,02,90.00,1750,1900,1850
2015,February,06,100.00,1750,1900,1850
2015,November,05,115.00,1900,2000,1950
2016,January,04,115.00,2300,2400,2350
2015,June,01,130.00,1800,2000,1900
2015,October,03,130.00,1900,2000,1950
2016,February,13,130.00,2000,2100,2080
2015,October,05,135.00,1900,2000,1950
2015,September,29,135.00,1900,2000,1950
2014,November,10,140.00,1800,1900,1850
2015,October,06,140.00,1900,2000,1950
2015,September,18,140.00,1900,2000,1950
2015,September,19,140.00,1900,2000,1950
2015,September,28,140.00,1900,2000,1950
2015,September,10,150.00,1900,2000,1950
2015,September,16,160.00,1900,2000,1950
2016,October,28,4.00,2400,2800,2600
2014,December,22,10.50,1750,1900,1850
2016,October,11,15.00,2400,2800,2600
2014,August,25,20.00,1600,1750,1640
2017,August,08,20.00,2340,2600,2400
2016,July,27,25.00,2300,2700,2400
2016,November,11,25.00,2400,3200,2800
2017,January,02,25.00,2800,3500,3000
2017,January,05,25.00,2800,3500,3000
2017,January,08,25.00,2800,3500,3000
2017,January,09,25.00,2800,3500,3000
2014,August,30,30.00,1600,1750,1640
2016,July,20,30.00,2300,2700,2400
2016,October,06,30.00,2400,2800,2600
2016,October,09,30.00,2400,2800,2600
2016,October,12,30.00,2400,2800,2600
2016,October,17,30.00,2400,2800,2600
2016,October,26,30.00,2400,2800,2600
2016,August,12,30.00,2400,2900,2700
2016,November,04,30.00,2400,3000,2900
2016,September,18,30.00,2400,3200,2700
2016,December,01,30.00,2400,3200,2800
2016,December,02,30.00,2400,3200,2800
2016,November,06,30.00,2400,3200,2800
2016,November,07,30.00,2400,3200,2800
2016,November,10,30.00,2400,3200,2800
2016,November,12,30.00,2400,3200,2800
2016,November,14,30.00,2400,3200,2800
2016,November,15,30.00,2400,3200,2800
2016,November,22,30.00,2400,3200,2800
2016,November,28,30.00,2400,3200,2800
2017,January,03,30.00,2800,3500,3000
2017,January,04,30.00,2800,3500,3000
2017,January,06,30.00,2800,3500,3000
2016,October,10,35.00,2400,2800,2600
2016,October,14,35.00,2400,2800,2600
2016,October,16,35.00,2400,2800,2600
2016,October,23,35.00,2400,2800,2600
2016,October,24,35.00,2400,2800,2600
2016,August,01,35.00,2400,2900,2700
2016,August,25,35.00,2400,2900,2700
2016,November,01,35.00,2400,3000,2900
2016,September,01,35.00,2400,3200,2700
2016,September,04,35.00,2400,3200,2700
2016,September,11,35.00,2400,3200,2700
2016,September,14,35.00,2400,3200,2700
2016,September,19,35.00,2400,3200,2700
2016,September,28,35.00,2400,3200,2700
2016,November,16,35.00,2400,3200,2800
2016,November,17,35.00,2400,3200,2800
2016,November,27,35.00,2400,3200,2800
2016,December,05,35.00,2800,3200,3000
2017,January,07,35.00,2800,3500,3000
2016,October,07,40.00,2400,2800,2600
2016,October,08,40.00,2400,2800,2600
2016,October,13,40.00,2400,2800,2600
2016,October,15,40.00,2400,2800,2600
2016,October,22,40.00,2400,2800,2600
2016,August,14,40.00,2400,2900,2700
2016,August,28,40.00,2400,2900,2700
