year,month,date,arrival,min,max,modal
2014,June,25,12.20,1900,2000,1950
2014,February,19,15.90,1800,2000,1900
2014,July,02,21.50,1900,2000,1950
2014,July,01,23.00,1900,2000,1950
2014,June,26,23.40,1900,2000,1950
2014,May,20,23.50,1800,2000,1900
2014,March,18,23.90,1800,2000,1900
2014,January,07,24.00,1800,2000,1900
2014,June,12,24.30,1900,2000,1950
2014,May,21,24.70,1800,2000,1900
2014,June,05,24.90,1800,2000,1900
2014,March,21,25.00,1800,2000,1900
2014,March,27,25.00,1800,2000,1900
2014,June,10,25.00,1900,2000,1950
2014,June,11,25.00,1900,2000,1950
2014,March,24,25.40,1800,2000,1900
2014,May,23,25.80,1800,2000,1900
2014,March,06,26.10,1800,2000,1900
2014,May,19,26.10,1800,2000,1900
2014,May,05,26.20,1800,2000,1900
2014,March,15,26.50,1800,2000,1900
2014,June,19,27.00,1900,2000,1950
2014,June,20,27.00,1900,2000,1950
2014,June,21,27.00,1900,2000,1950
2014,April,08,27.10,1800,2000,1900
2014,June,16,27.50,1900,2000,1950
2014,June,17,27.50,1900,2000,1950
2014,June,02,27.90,1800,2000,1900
2014,February,15,28.00,1800,2000,1900
2014,March,25,28.20,1800,2000,1900
2014,March,26,28.20,1800,2000,1900
2014,May,31,28.30,1800,2000,1900
2014,January,22,28.50,1800,2000,1900
2014,May,27,28.60,1800,2000,1900
2014,April,11,29.00,1800,2000,1900
2014,February,24,29.40,1800,2000,1900
2014,March,10,29.50,1800,2000,1900
2014,February,13,29.50,1800,2000,1900
2014,March,04,30.00,1800,2000,1900
2014,February,12,30.30,1800,2000,1900
2014,June,23,30.40,1900,2000,1950
2014,August,01,30.70,1900,2000,1950
2014,April,04,30.80,1800,2000,1900
2014,April,05,30.80,1800,2000,1900
2014,March,13,30.90,1800,2000,1900
2014,March,11,31.10,1800,2000,1900
2014,July,31,31.20,1900,2000,1950
2014,January,21,31.40,1800,2000,1900
2014,January,17,32.50,1800,2000,1900
2014,January,18,32.50,1800,2000,1900
2014,March,31,32.60,1800,2000,1900
2014,May,07,32.70,1800,2000,1900
2014,February,07,33.20,1800,2000,1900
2014,February,27,36.20,1800,2000,1900
2014,February,11,36.30,1800,2000,1900
2014,April,10,36.60,1800,2000,1900
2014,February,10,37.70,1800,2000,1900
2014,February,01,37.80,1800,2000,1900
2014,January,30,38.80,1800,2000,1900
2014,January,06,42.00,1800,2000,1900
2014,January,08,43.10,1800,2000,1900
2014,January,09,43.10,1800,2000,1900
