year,month,date,arrival,min,max,modal
2016,June,17,9.00,1700,2200,2100
2015,May,20,25.00,2300,2500,2400
2015,November,19,6.50,2000,2200,2100
2016,January,04,7.00,1600,1800,1700
2015,November,23,7.20,2000,2200,2150
2016,January,17,7.50,1600,2000,1800
2015,December,15,8.00,1800,2200,2000
2015,November,21,8.00,2000,2200,2100
2015,November,07,8.00,2100,2400,2200
2015,December,29,8.20,1700,2000,1850
2015,October,21,8.20,2200,2500,2400
2015,October,08,8.70,2300,2500,2400
2016,June,21,9.00,1700,2300,2200
2016,March,07,9.00,1800,2000,1900
2016,January,11,9.00,1800,2000,1900
2016,December,02,9.00,2200,2500,2400
2016,November,19,9.00,2500,2800,2600
2015,November,18,9.20,2000,2200,2100
2016,February,15,9.50,1600,2000,1850
2016,July,05,10.00,1700,2200,2100
2015,December,23,11.00,1700,2000,1850
2016,June,20,11.00,1700,2200,2000
2016,October,27,12.00,1600,1900,1700
2016,March,10,12.00,1800,2000,1900
2016,July,01,12.00,1800,2100,2000
2015,November,04,12.00,1800,2200,2000
2016,July,21,12.00,1800,2200,2150
2017,January,19,12.00,3000,3200,3100
2016,July,08,13.00,1700,2200,2100
2016,January,13,13.00,1800,2000,1850
2015,October,13,13.00,2200,2500,2400
2015,September,09,13.00,2300,2500,2400
2015,September,10,13.00,2300,2500,2400
2015,September,17,13.00,2300,2500,2400
2016,August,29,13.50,1800,2100,2000
2016,August,03,13.50,1800,2200,2150
2016,October,28,14.00,1600,2000,1800
2016,August,17,14.00,1800,2150,2000
2015,October,14,14.00,2200,2400,2300
2016,February,06,15.00,1600,2000,1800
2016,February,13,15.00,1600,2000,1850
2016,September,14,15.00,1700,2000,1850
2016,June,13,15.00,1700,2200,2000
2016,July,26,15.00,1800,2200,2150
2016,November,11,15.00,2000,2300,2200
2016,November,05,15.00,2000,2400,2200
2016,December,06,15.00,2000,2400,2200
2015,May,29,15.00,2200,2400,2300
2015,June,15,15.00,2300,2500,2400
2015,June,18,15.00,2300,2500,2400
2016,May,08,16.00,1600,1900,1750
2016,August,01,16.00,1700,2200,1950
2016,June,14,16.00,1700,2200,2000
2016,July,27,16.00,1700,2200,2000
2016,July,30,16.00,1700,2200,2000
2016,September,03,16.00,1800,2100,2000
2015,December,09,16.00,1800,2100,2000
2015,May,23,16.00,2200,2500,2300
2015,August,18,16.00,2300,2500,2400
2015,May,18,16.00,2300,2500,2400
2015,September,18,16.00,2300,2500,2400
2015,August,27,16.00,2300,2500,2400
2015,August,21,16.20,2300,2500,2400
2016,August,02,17.00,1700,2200,2000
2016,July,28,17.00,1700,2200,2000
2016,March,02,17.00,1800,2000,1900
2015,December,07,17.00,2000,2200,2100
2015,May,30,17.00,2200,2400,2300
2015,July,28,17.00,2200,2450,2350
2015,June,16,17.00,2200,2500,2400
2015,September,01,17.00,2300,2500,2400
2015,May,15,17.00,2300,2500,2400
2015,July,02,17.20,2200,2500,2350
2015,September,27,17.30,2200,2500,2400
2016,September,20,17.50,1800,2000,1900
2016,November,03,17.50,2000,2400,2200
2015,August,19,17.50,2300,2500,2400
2016,August,09,18.00,1800,2200,2000
2015,November,12,18.00,1800,2200,2000
2016,July,20,18.00,1800,2200,2150
2015,December,08,18.00,2000,2200,2100
2015,July,06,18.00,2200,2400,2300
2015,June,10,18.00,2200,2400,2300
2015,May,19,18.00,2200,2400,2300
2015,June,04,18.00,2200,2500,2350
2015,September,19,18.00,2300,2500,2400
2015,August,25,18.00,2300,2500,2400
2015,June,29,18.00,2300,2500,2400
2015,May,22,18.20,2200,2500,2300
2017,January,29,18.50,2700,3000,2850
2016,September,30,19.00,1600,2000,1800
2015,May,28,19.00,2200,2400,2300
2015,July,21,19.00,2200,2500,2300
2015,May,25,19.00,2200,2500,2300
2015,August,04,19.00,2200,2500,2400
2015,August,06,19.00,2200,2500,2400
2015,August,23,19.00,2200,2500,2400
2015,July,08,19.00,2250,2500,2350
2015,October,02,19.00,2300,2500,2400
2015,June,22,19.00,2300,2500,2400
2015,July,26,19.30,2200,2500,2350
2015,December,20,19.50,1800,2200,2000
2015,June,01,19.60,2200,2400,2350
2016,September,28,20.00,1600,2000,1800
2016,September,07,20.00,1800,2100,2000
2016,November,30,20.00,2000,2200,2100
2015,July,01,20.00,2200,2500,2350
2015,June,05,20.00,2300,2500,2400
2017,January,12,20.00,2600,2800,2700
2017,January,11,20.00,2650,2800,2750
2017,February,03,20.00,3000,3025,3010
2016,March,14,21.00,1600,2000,1800
2015,June,03,21.00,2200,2400,2300
2015,October,05,21.00,2300,2500,2400
2015,June,12,21.00,2300,2500,2400
2017,January,17,21.00,2700,3000,2800
2015,July,30,22.00,2300,2500,2400
2017,January,15,22.00,2600,2800,2700
2016,December,29,22.00,2700,2800,2750
2015,July,22,23.00,2200,2500,2350
2017,May,11,23.00,2300,2450,2350
2015,September,06,23.00,2300,2500,2400
2015,May,27,24.00,2200,2400,2300
2015,August,05,24.00,2200,2400,2350
2015,September,13,24.00,2300,2500,2400
2015,September,16,24.00,2300,2500,2400
2015,August,17,24.00,2300,2500,2400
2015,August,20,24.00,2300,2500,2400
2015,June,23,24.00,2300,2500,2400
2017,March,24,24.00,2680,2700,2700
2017,January,20,24.00,3000,3200,3100
2016,October,01,25.00,1800,2200,2000
2015,July,10,25.00,2200,2400,2350
2015,August,14,25.00,2250,2450,2400
2015,September,15,25.00,2300,2500,2400
2017,April,24,25.00,2500,2600,2520
2017,February,02,25.00,2700,3200,3000
2017,February,14,25.00,3020,3050,3040
2015,August,07,26.00,2200,2500,2400
2015,September,11,26.00,2300,2500,2400
2017,April,06,26.00,2560,2580,2580
2015,May,26,28.00,2200,2400,2300
2017,February,17,28.00,2540,2600,2600
2017,March,31,28.00,2660,2680,2680
2017,February,01,28.50,2700,3200,2900
2018,April,12,30.00,2120,2330,2200
2018,May,09,30.00,2120,2350,2240
2018,March,19,30.00,2250,2330,2300
2017,June,06,30.00,2290,2580,2320
2019,May,22,30.00,2300,2500,2450
2019,August,29,30.00,2300,2500,2500
2018,December,07,30.00,2300,2800,2700
2017,April,18,30.00,2350,2500,2400
2019,March,05,30.00,2350,2550,2500
2017,September,08,30.00,2360,2650,2400
2017,September,16,30.00,2480,2500,2490
2017,February,23,30.00,2540,2600,2600
2017,February,27,30.00,2540,2600,2600
2017,January,07,30.00,2600,2800,2750
2017,August,17,30.00,2600,2900,2750
2016,December,20,30.00,2625,2850,2750
2017,March,30,30.00,2660,2680,2680
2017,March,01,30.00,2790,3000,3000
2017,February,04,30.00,3000,3025,3010
2017,February,06,30.00,3000,3025,3010
2017,February,16,30.00,3020,3050,3040
