year,month,date,arrival,min,max,modal
2014,September,04,1.20,3400,4200,3800
2015,March,23,1.60,3100,3300,3200
2015,August,08,3.20,3300,3500,3400
2015,August,07,3.50,3300,3500,3400
2015,August,11,3.50,3300,3500,3400
2015,December,16,3.50,3300,3500,3400
2015,December,15,3.80,3300,3500,3400
2015,August,09,4.00,3300,3500,3400
2015,August,10,4.00,3300,3500,3400
2015,December,22,4.40,3400,3500,3450
2014,November,17,5.00,3900,4000,3950
2014,October,31,5.00,3900,4000,3950
2016,March,14,5.20,3400,3500,3450
2014,August,23,5.50,3900,4000,3950
2014,November,10,6.00,3500,4000,3750
2014,November,01,6.00,3900,4000,3950
2014,November,12,6.00,3900,4000,3950
2014,October,24,7.00,3800,4000,3900
2014,November,14,7.50,3900,4000,3950
2014,October,17,8.00,3500,4000,3700
2014,October,26,8.00,3800,4000,3900
2014,November,04,8.00,3900,4000,3950
2014,August,22,8.00,3900,4000,3950
2014,October,25,8.00,3900,4000,3950
2014,November,24,8.50,3900,4000,3950
2014,October,23,9.00,3800,4000,3900
2014,November,22,9.00,3900,4000,3950
2014,September,25,10.00,2100,2400,2250
2014,September,23,10.00,2400,2850,2610
2014,August,28,10.00,3200,3500,3400
2014,September,19,10.00,3300,3600,3450
2015,January,09,10.00,3500,4500,4000
2014,September,01,10.00,3900,4000,3950
2014,November,06,10.00,3900,4000,3950
2014,October,21,10.00,3900,4000,3950
2014,August,25,10.00,3900,4000,3950
2014,November,25,10.00,3900,4000,3950
2014,October,27,10.00,3900,4000,3950
2014,August,30,10.00,3900,4000,3950
2014,August,27,11.00,3200,3500,3400
2014,October,13,11.00,3900,4000,3950
2014,November,19,11.00,3900,4000,3950
2014,November,21,11.00,3900,4000,3950
2014,October,22,11.00,3900,4000,3950
2014,November,23,11.00,3900,4000,3950
2014,October,28,11.00,3900,4000,3950
2014,October,29,11.00,3900,4000,3950
2014,November,08,11.50,3900,4000,3950
2014,October,15,12.00,2800,3200,3000
2014,September,05,12.00,3900,4000,3950
2014,September,07,12.00,3900,4000,3950
2014,October,08,12.00,3900,4000,3950
2014,September,12,12.00,3900,4000,3950
2014,October,14,12.00,3900,4000,3950
2014,September,14,12.00,3900,4000,3950
2014,November,18,12.00,3900,4000,3950
2014,September,20,12.00,3900,4000,3950
2014,September,24,12.00,3900,4000,3950
2014,September,22,12.50,3900,4000,3950
2014,September,08,13.00,3900,4000,3950
2014,November,09,13.00,3900,4000,3950
2014,October,16,13.00,3900,4000,3950
2014,September,18,13.00,3900,4000,3950
2014,September,26,13.00,3900,4000,3950
2014,October,11,13.50,2250,2600,2350
2014,August,29,14.00,3200,3500,3400
2014,November,02,14.00,3900,4000,3950
2014,November,15,14.00,3900,4000,3950
2014,September,15,14.00,3900,4000,3950
2014,November,16,14.00,3900,4000,3950
2015,February,10,15.00,3100,3300,3200
2014,November,05,15.00,3900,4000,3950
2014,November,07,15.00,3900,4000,3950
2014,November,11,15.00,3900,4000,3950
2014,November,13,15.00,3900,4000,3950
2014,November,20,15.00,3900,4000,3950
2014,November,03,16.00,3900,4000,3950
2014,October,18,16.00,3900,4000,3950
2014,October,12,18.00,2300,3000,2500
