year,month,date,arrival,min,max,modal
2017,December,28,8.00,3500,4000,3700
2017,December,18,17.00,4000,4500,4300
2018,February,02,18.00,3500,4300,3800
2018,January,30,18.00,3800,4500,4000
2017,December,23,18.00,4000,4500,4300
2017,December,19,18.00,4000,4700,4500
2018,January,01,20.00,3800,4300,4000
2018,January,03,20.00,3800,4400,4000
2017,December,29,20.00,3800,4400,4000
2017,December,30,20.00,3800,4400,4000
2017,December,22,20.00,3800,4500,4300
2017,December,16,20.00,4000,4800,4500
2017,December,21,30.00,4000,4600,4500
2022,February,09,45.00,2700,3000,2900
2022,February,01,50.00,2800,3200,3000
2022,February,07,62.00,2700,2800,2750
2016,March,08,1.40,1500,1700,1600
2015,August,24,1.50,4500,5500,5000
2015,December,04,2.50,2500,2700,2600
2016,November,23,3.00,1400,1600,1500
2016,March,19,3.00,1600,1800,1700
2014,October,21,3.00,1800,1900,1800
2015,January,12,3.00,2000,2200,2100
2015,September,16,3.00,2800,3000,2900
2015,August,08,3.00,3000,4700,4500
2015,August,11,3.00,3800,4500,4000
2015,August,07,3.00,3800,5000,4000
2015,September,09,3.00,5000,5800,5600
2016,October,31,4.00,1400,1500,1480
2016,April,30,4.00,1600,1750,1650
2016,May,04,4.00,1600,1750,1700
2016,March,14,4.00,1600,1800,1700
2016,March,16,4.00,1700,1900,1800
2015,January,06,4.00,2000,2100,2000
2014,July,31,4.00,2200,2600,2300
2014,July,23,4.00,2400,3100,2600
2015,August,03,4.00,3800,4500,4000
2015,August,21,4.00,5000,5300,5200
2015,September,07,4.00,5000,5500,5200
2015,August,29,4.00,5000,5700,5400
2015,September,04,4.00,5200,5500,5300
2016,January,05,4.50,1900,2000,2000
2015,August,31,4.50,5000,5600,5200
2016,March,11,5.00,1500,1700,1600
2016,February,15,5.00,1600,1800,1700
2016,January,28,5.00,1650,1900,1800
2016,January,27,5.00,1700,1900,1800
2014,July,18,5.00,2300,3200,2350
2014,July,24,5.00,2400,3000,2800
2014,July,15,5.00,2800,4000,3500
2015,August,13,5.00,3500,3800,3600
2015,August,18,5.00,3500,3800,3700
2015,August,19,5.00,4000,5000,4200
2015,September,19,5.00,4800,5300,5200
2015,August,27,5.00,5000,5200,5200
2016,February,10,5.50,1600,1800,1700
2014,September,11,5.50,2300,2500,2400
2014,August,01,6.00,200,2600,2400
2016,May,09,6.00,1400,1600,1500
2016,March,07,6.00,1500,1700,1600
2016,May,10,6.00,1600,1650,1600
2016,February,03,6.00,1600,1700,1650
2016,February,05,6.00,1600,1700,1650
2016,June,18,6.00,1600,1700,1650
2016,April,29,6.00,1600,1750,1700
2016,June,29,6.00,1600,1750,1700
2014,October,17,6.00,1800,1900,1900
2015,January,09,6.00,2000,2200,2100
2014,July,01,6.00,2000,2800,2500
2015,December,16,6.00,2100,2300,2200
2015,August,01,6.00,3300,3400,3350
2015,August,17,6.00,3500,3800,3600
2015,August,06,6.00,3500,4000,3800
2015,October,19,6.00,4000,4300,4100
2015,October,07,6.00,4800,5300,5000
2015,October,14,6.00,4900,5200,5000
2015,September,01,6.00,5500,6300,6000
2015,December,29,6.40,2000,2150,2100
2016,June,07,6.50,1500,1700,1600
2016,March,10,6.50,1600,1800,1700
2016,March,17,6.50,1600,1800,1700
2016,January,07,6.50,1900,2100,2000
2016,June,02,7.00,1400,1600,1500
2016,May,18,7.00,1400,1600,1500
2016,May,05,7.00,1500,1650,1600
2016,May,24,7.00,1500,1650,1600
2016,May,03,7.00,1500,1700,1600
2016,April,28,7.00,1600,1700,1650
2016,April,01,7.00,1600,1800,1700
2016,March,28,7.00,1600,1800,1700
2016,April,05,7.00,1700,1800,1750
2014,November,19,7.00,1900,2100,2000
2015,January,07,7.00,2000,2200,2100
2016,March,05,7.50,1500,1700,1600
2016,March,15,7.50,1600,1800,1700
