year,month,date,arrival,min,max,modal
2016,October,01,0.60,400,1000,600
2016,January,19,1.00,500,1500,1000
2016,January,18,1.00,800,1600,1200
2016,January,14,1.00,1000,2000,1500
2016,January,01,1.00,1500,3500,2000
2021,November,30,1.32,1200,5800,3500
2021,January,11,1.35,600,1060,800
2020,January,01,1.40,460,860,660
2016,February,01,1.50,200,500,300
2021,December,17,1.50,1000,3300,2000
2021,January,15,1.65,660,1200,900
2022,January,21,1.80,800,2000,1500
2021,December,10,1.80,1000,5000,3500
2021,November,29,1.80,1200,6000,3500
2018,September,22,1.88,150,500,300
2019,January,02,1.91,360,1060,1060
2021,December,05,1.92,1600,5000,5000
2022,January,25,1.95,700,1800,1200
2020,January,02,1.95,730,1330,1060
2016,November,12,2.00,100,300,200
2016,December,17,2.00,100,300,200
2016,November,19,2.00,100,300,200
2016,October,22,2.00,100,500,300
2015,August,08,2.00,200,400,300
2014,December,17,2.00,300,700,500
2014,November,22,2.00,400,800,600
2016,January,15,2.00,1000,2000,1500
2015,November,19,2.00,1000,3000,2000
2016,January,05,2.00,1500,3500,2500
2018,September,29,2.02,150,380,250
2018,November,17,2.02,400,1000,700
2021,November,16,2.02,1200,5000,4000
2022,January,24,2.04,800,1660,1200
2021,November,24,2.04,1800,5000,4000
2021,November,18,2.08,1200,5000,4000
2018,January,15,2.10,150,450,350
2018,January,16,2.20,150,450,350
2021,November,26,2.25,1330,4700,3360
2021,January,22,2.31,660,1330,1000
2021,November,21,2.37,1800,5000,4000
2024,January,18,2.40,1000,2000,1500
2021,February,01,2.47,800,1660,1200
2016,October,08,2.50,500,1200,900
2023,January,24,2.55,900,2200,1500
2021,November,15,2.55,1200,5000,3000
2020,February,04,2.58,660,1000,800
2024,January,09,2.60,1000,2330,1700
2024,January,10,2.60,1000,2330,1700
2020,December,31,2.61,550,860,680
2020,September,09,2.64,1660,3330,2300
2021,November,17,2.70,1260,5000,4000
2021,February,05,2.82,730,1460,1100
2019,December,27,2.86,390,1000,660
2020,December,29,2.86,530,860,660
2021,January,29,2.88,800,1460,1330
2022,January,29,2.94,800,1860,1200
2019,April,17,2.96,133,286,200
2019,January,01,2.97,400,1200,800
2018,September,01,3.00,200,600,400
2015,September,12,3.00,300,700,500
2014,September,27,3.00,300,900,500
2016,January,21,3.00,300,900,600
2014,December,11,3.00,500,1000,700
2016,January,20,3.00,500,1000,700
2016,January,22,3.00,500,1000,700
2021,January,20,3.00,660,1330,1000
2015,December,31,3.00,800,2100,1400
2016,January,17,3.00,1000,2000,1500
2015,November,26,3.00,1000,2400,1700
