year,month,date,arrival,min,max,modal
2015,June,02,0.10,1500,2000,2000
2015,October,07,0.10,1500,2000,2000
2014,September,10,0.10,1500,2000,2000
2015,June,12,0.10,1500,2000,2000
2014,August,26,0.10,1500,2000,2000
2014,April,01,0.10,1500,2000,2000
2016,April,01,0.10,1500,2000,2000
2014,August,01,0.10,1500,2000,2000
2015,August,01,0.10,1500,2000,2000
2016,August,01,0.10,1500,2000,2000
2017,August,01,0.10,1500,2000,2000
2015,December,01,0.10,1500,2000,2000
2016,December,01,0.10,1500,2000,2000
2017,December,01,0.10,1500,2000,2000
2014,February,01,0.10,1500,2000,2000
2016,February,01,0.10,1500,2000,2000
2017,February,01,0.10,1500,2000,2000
2018,February,01,0.10,1500,2000,2000
2014,January,01,0.10,1500,2000,2000
2016,January,01,0.10,1500,2000,2000
2017,January,01,0.10,1500,2000,2000
2018,January,01,0.10,1500,2000,2000
2015,July,01,0.10,1500,2000,2000
2016,July,01,0.10,1500,2000,2000
2017,July,01,0.10,1500,2000,2000
2015,June,01,0.10,1500,2000,2000
2016,June,01,0.10,1500,2000,2000
2017,June,01,0.10,1500,2000,2000
2014,March,01,0.10,1500,2000,2000
2016,March,01,0.10,1500,2000,2000
2017,March,01,0.10,1500,2000,2000
2018,March,01,0.10,1500,2000,2000
2014,May,01,0.10,1500,2000,2000
2015,May,01,0.10,1500,2000,2000
2016,May,01,0.10,1500,2000,2000
2017,May,01,0.10,1500,2000,2000
2015,November,01,0.10,1500,2000,2000
2016,November,01,0.10,1500,2000,2000
2017,November,01,0.10,1500,2000,2000
2015,October,01,0.10,1500,2000,2000
2016,October,01,0.10,1500,2000,2000
2017,October,01,0.10,1500,2000,2000
2016,September,01,0.10,1500,2000,2000
2017,September,01,0.10,1500,2000,2000
2014,April,02,0.10,1500,2000,2000
2015,April,02,0.10,1500,2000,2000
2016,April,02,0.10,1500,2000,2000
2017,April,02,0.10,1500,2000,2000
2014,August,02,0.10,1500,2000,2000
2015,August,02,0.10,1500,2000,2000
2016,August,02,0.10,1500,2000,2000
2017,August,02,0.10,1500,2000,2000
2015,December,02,0.10,1500,2000,2000
2016,December,02,0.10,1500,2000,2000
2014,February,02,0.10,1500,2000,2000
2016,February,02,0.10,1500,2000,2000
2017,February,02,0.10,1500,2000,2000
2018,February,02,0.10,1500,2000,2000
2014,January,02,0.10,1500,2000,2000
2016,January,02,0.10,1500,2000,2000
2017,January,02,0.10,1500,2000,2000
2018,January,02,0.10,1500,2000,2000
2015,July,02,0.10,1500,2000,2000
2016,July,02,0.10,1500,2000,2000
2017,July,02,0.10,1500,2000,2000
2015,June,02,0.10,1500,2000,2000
2016,June,02,0.10,1500,2000,2000
2017,June,02,0.10,1500,2000,2000
2014,March,02,0.10,1500,2000,2000
2016,March,02,0.10,1500,2000,2000
2017,March,02,0.10,1500,2000,2000
2018,March,02,0.10,1500,2000,2000
2014,May,02,0.10,1500,2000,2000
2015,May,02,0.10,1500,2000,2000
2016,May,02,0.10,1500,2000,2000
2017,May,02,0.10,1500,2000,2000
2015,November,02,0.10,1500,2000,2000
2016,November,02,0.10,1500,2000,2000
2017,November,02,0.10,1500,2000,2000
2015,October,02,0.10,1500,2000,2000
2016,October,02,0.10,1500,2000,2000
2017,October,02,0.10,1500,2000,2000
2015,September,02,0.10,1500,2000,2000
2016,September,02,0.10,1500,2000,2000
2014,April,03,0.10,1500,2000,2000
2015,April,03,0.10,1500,2000,2000
2016,April,03,0.10,1500,2000,2000
2014,August,03,0.10,1500,2000,2000
2015,August,03,0.10,1500,2000,2000
2016,August,03,0.10,1500,2000,2000
2017,August,03,0.10,1500,2000,2000
2015,December,03,0.10,1500,2000,2000
2016,December,03,0.10,1500,2000,2000
2017,December,03,0.10,1500,2000,2000
2014,February,03,0.10,1500,2000,2000
2016,February,03,0.10,1500,2000,2000
2017,February,03,0.10,1500,2000,2000
2018,February,03,0.10,1500,2000,2000
2014,January,03,0.10,1500,2000,2000
2016,January,03,0.10,1500,2000,2000
2017,January,03,0.10,1500,2000,2000
2018,January,03,0.10,1500,2000,2000
2015,July,03,0.10,1500,2000,2000
2016,July,03,0.10,1500,2000,2000
2017,July,03,0.10,1500,2000,2000
2015,June,03,0.10,1500,2000,2000
2016,June,03,0.10,1500,2000,2000
2017,June,03,0.10,1500,2000,2000
2014,March,03,0.10,1500,2000,2000
2016,March,03,0.10,1500,2000,2000
2017,March,03,0.10,1500,2000,2000
2018,March,03,0.10,1500,2000,2000
2014,May,03,0.10,1500,2000,2000
2015,May,03,0.10,1500,2000,2000
2017,May,03,0.10,1500,2000,2000
2015,November,03,0.10,1500,2000,2000
2016,November,03,0.10,1500,2000,2000
2017,November,03,0.10,1500,2000,2000
2015,October,03,0.10,1500,2000,2000
2016,October,03,0.10,1500,2000,2000
2017,October,03,0.10,1500,2000,2000
2015,September,03,0.10,1500,2000,2000
2016,September,03,0.10,1500,2000,2000
2017,September,03,0.10,1500,2000,2000
2014,April,04,0.10,1500,2000,2000
2015,April,04,0.10,1500,2000,2000
2016,April,04,0.10,1500,2000,2000
2014,August,04,0.10,1500,2000,2000
2015,August,04,0.10,1500,2000,2000
2016,August,04,0.10,1500,2000,2000
2017,August,04,0.10,1500,2000,2000
2015,December,04,0.10,1500,2000,2000
2016,December,04,0.10,1500,2000,2000
2017,December,04,0.10,1500,2000,2000
2014,February,04,0.10,1500,2000,2000
2016,February,04,0.10,1500,2000,2000
2017,February,04,0.10,1500,2000,2000
2018,February,04,0.10,1500,2000,2000
2014,January,04,0.10,1500,2000,2000
2016,January,04,0.10,1500,2000,2000
2017,January,04,0.10,1500,2000,2000
2018,January,04,0.10,1500,2000,2000
2015,July,04,0.10,1500,2000,2000
2016,July,04,0.10,1500,2000,2000
2017,July,04,0.10,1500,2000,2000
2015,June,04,0.10,1500,2000,2000
2016,June,04,0.10,1500,2000,2000
2017,June,04,0.10,1500,2000,2000
2014,March,04,0.10,1500,2000,2000
2016,March,04,0.10,1500,2000,2000
2017,March,04,0.10,1500,2000,2000
2018,March,04,0.10,1500,2000,2000
2014,May,04,0.10,1500,2000,2000
2015,May,04,0.10,1500,2000,2000
2016,May,04,0.10,1500,2000,2000
2017,May,04,0.10,1500,2000,2000
2015,November,04,0.10,1500,2000,2000
2016,November,04,0.10,1500,2000,2000
2017,November,04,0.10,1500,2000,2000
2014,October,04,0.10,1500,2000,2000
2015,October,04,0.10,1500,2000,2000
2016,October,04,0.10,1500,2000,2000
2017,October,04,0.10,1500,2000,2000
2015,September,04,0.10,1500,2000,2000
2016,September,04,0.10,1500,2000,2000
2014,April,05,0.10,1500,2000,2000
2015,April,05,0.10,1500,2000,2000
2016,April,05,0.10,1500,2000,2000
2014,August,05,0.10,1500,2000,2000
2015,August,05,0.10,1500,2000,2000
2016,August,05,0.10,1500,2000,2000
2017,August,05,0.10,1500,2000,2000
2015,December,05,0.10,1500,2000,2000
2016,December,05,0.10,1500,2000,2000
2017,December,05,0.10,1500,2000,2000
2014,February,05,0.10,1500,2000,2000
2016,February,05,0.10,1500,2000,2000
2017,February,05,0.10,1500,2000,2000
2018,February,05,0.10,1500,2000,2000
2014,January,05,0.10,1500,2000,2000
2016,January,05,0.10,1500,2000,2000
2017,January,05,0.10,1500,2000,2000
2018,January,05,0.10,1500,2000,2000
2015,July,05,0.10,1500,2000,2000
2016,July,05,0.10,1500,2000,2000
2017,July,05,0.10,1500,2000,2000
2016,June,05,0.10,1500,2000,2000
2017,June,05,0.10,1500,2000,2000
2014,March,05,0.10,1500,2000,2000
2016,March,05,0.10,1500,2000,2000
2017,March,05,0.10,1500,2000,2000
2018,March,05,0.10,1500,2000,2000
2014,May,05,0.10,1500,2000,2000
2015,May,05,0.10,1500,2000,2000
2016,May,05,0.10,1500,2000,2000
2017,May,05,0.10,1500,2000,2000
2015,November,05,0.10,1500,2000,2000
2016,November,05,0.10,1500,2000,2000
2017,November,05,0.10,1500,2000,2000
2014,October,05,0.10,1500,2000,2000
2015,October,05,0.10,1500,2000,2000
2017,October,05,0.10,1500,2000,2000
2014,September,05,0.10,1500,2000,2000
2015,September,05,0.10,1500,2000,2000
2016,September,05,0.10,1500,2000,2000
2017,September,05,0.10,1500,2000,2000
2014,April,06,0.10,1500,2000,2000
2015,April,06,0.10,1500,2000,2000
2016,April,06,0.10,1500,2000,2000
2014,August,06,0.10,1500,2000,2000
2015,August,06,0.10,1500,2000,2000
2016,August,06,0.10,1500,2000,2000
2017,August,06,0.10,1500,2000,2000
2015,December,06,0.10,1500,2000,2000
2016,December,06,0.10,1500,2000,2000
2014,February,06,0.10,1500,2000,2000
2016,February,06,0.10,1500,2000,2000
2017,February,06,0.10,1500,2000,2000
2018,February,06,0.10,1500,2000,2000
2014,January,06,0.10,1500,2000,2000
2016,January,06,0.10,1500,2000,2000
2017,January,06,0.10,1500,2000,2000
2018,January,06,0.10,1500,2000,2000
2015,July,06,0.10,1500,2000,2000
2016,July,06,0.10,1500,2000,2000
2017,July,06,0.10,1500,2000,2000
2014,June,06,0.10,1500,2000,2000
2015,June,06,0.10,1500,2000,2000
2016,June,06,0.10,1500,2000,2000
2017,June,06,0.10,1500,2000,2000
2014,March,06,0.10,1500,2000,2000
2016,March,06,0.10,1500,2000,2000
2017,March,06,0.10,1500,2000,2000
2018,March,06,0.10,1500,2000,2000
2014,May,06,0.10,1500,2000,2000
2015,May,06,0.10,1500,2000,2000
2016,May,06,0.10,1500,2000,2000
2017,May,06,0.10,1500,2000,2000
2015,November,06,0.10,1500,2000,2000
2016,November,06,0.10,1500,2000,2000
2017,November,06,0.10,1500,2000,2000
2014,October,06,0.10,1500,2000,2000
2015,October,06,0.10,1500,2000,2000
2016,October,06,0.10,1500,2000,2000
2017,October,06,0.10,1500,2000,2000
2014,September,06,0.10,1500,2000,2000
2015,September,06,0.10,1500,2000,2000
2016,September,06,0.10,1500,2000,2000
2017,September,06,0.10,1500,2000,2000
2014,April,07,0.10,1500,2000,2000
2015,April,07,0.10,1500,2000,2000
2016,April,07,0.10,1500,2000,2000
2014,August,07,0.10,1500,2000,2000
2015,August,07,0.10,1500,2000,2000
2016,August,07,0.10,1500,2000,2000
2017,August,07,0.10,1500,2000,2000
2015,December,07,0.10,1500,2000,2000
2016,December,07,0.10,1500,2000,2000
2017,December,07,0.10,1500,2000,2000
2014,February,07,0.10,1500,2000,2000
2016,February,07,0.10,1500,2000,2000
2017,February,07,0.10,1500,2000,2000
2018,February,07,0.10,1500,2000,2000
2014,January,07,0.10,1500,2000,2000
2016,January,07,0.10,1500,2000,2000
2017,January,07,0.10,1500,2000,2000
2018,January,07,0.10,1500,2000,2000
2015,July,07,0.10,1500,2000,2000
2016,July,07,0.10,1500,2000,2000
2017,July,07,0.10,1500,2000,2000
2014,June,07,0.10,1500,2000,2000
2015,June,07,0.10,1500,2000,2000
2016,June,07,0.10,1500,2000,2000
2017,June,07,0.10,1500,2000,2000
2014,March,07,0.10,1500,2000,2000
2016,March,07,0.10,1500,2000,2000
2017,March,07,0.10,1500,2000,2000
2018,March,07,0.10,1500,2000,2000
2014,May,07,0.10,1500,2000,2000
2015,May,07,0.10,1500,2000,2000
2016,May,07,0.10,1500,2000,2000
2017,May,07,0.10,1500,2000,2000
2015,November,07,0.10,1500,2000,2000
2016,November,07,0.10,1500,2000,2000
2017,November,07,0.10,1500,2000,2000
2014,October,07,0.10,1500,2000,2000
2016,October,07,0.10,1500,2000,2000
2017,October,07,0.10,1500,2000,2000
2014,September,07,0.10,1500,2000,2000
2015,September,07,0.10,1500,2000,2000
2016,September,07,0.10,1500,2000,2000
2017,September,07,0.10,1500,2000,2000
2014,April,08,0.10,1500,2000,2000
2015,April,08,0.10,1500,2000,2000
2016,April,08,0.10,1500,2000,2000
2017,April,08,0.10,1500,2000,2000
2014,August,08,0.10,1500,2000,2000
2015,August,08,0.10,1500,2000,2000
2016,August,08,0.10,1500,2000,2000
2017,August,08,0.10,1500,2000,2000
2015,December,08,0.10,1500,2000,2000
2016,December,08,0.10,1500,2000,2000
2017,December,08,0.10,1500,2000,2000
2014,February,08,0.10,1500,2000,2000
2016,February,08,0.10,1500,2000,2000
2017,February,08,0.10,1500,2000,2000
2018,February,08,0.10,1500,2000,2000
2014,January,08,0.10,1500,2000,2000
2016,January,08,0.10,1500,2000,2000
2017,January,08,0.10,1500,2000,2000
2018,January,08,0.10,1500,2000,2000
2015,July,08,0.10,1500,2000,2000
2016,July,08,0.10,1500,2000,2000
2014,June,08,0.10,1500,2000,2000
2015,June,08,0.10,1500,2000,2000
2016,June,08,0.10,1500,2000,2000
2017,June,08,0.10,1500,2000,2000
2014,March,08,0.10,1500,2000,2000
2016,March,08,0.10,1500,2000,2000
2017,March,08,0.10,1500,2000,2000
2018,March,08,0.10,1500,2000,2000
2014,May,08,0.10,1500,2000,2000
2015,May,08,0.10,1500,2000,2000
2016,May,08,0.10,1500,2000,2000
2017,May,08,0.10,1500,2000,2000
2015,November,08,0.10,1500,2000,2000
2016,November,08,0.10,1500,2000,2000
2017,November,08,0.10,1500,2000,2000
2014,October,08,0.10,1500,2000,2000
2015,October,08,0.10,1500,2000,2000
2016,October,08,0.10,1500,2000,2000
2017,October,08,0.10,1500,2000,2000
2014,September,08,0.10,1500,2000,2000
2015,September,08,0.10,1500,2000,2000
2016,September,08,0.10,1500,2000,2000
2017,September,08,0.10,1500,2000,2000
2014,April,09,0.10,1500,2000,2000
2015,April,09,0.10,1500,2000,2000
2016,April,09,0.10,1500,2000,2000
2017,April,09,0.10,1500,2000,2000
2014,August,09,0.10,1500,2000,2000
2015,August,09,0.10,1500,2000,2000
2016,August,09,0.10,1500,2000,2000
2017,August,09,0.10,1500,2000,2000
2015,December,09,0.10,1500,2000,2000
2016,December,09,0.10,1500,2000,2000
2017,December,09,0.10,1500,2000,2000
2014,February,09,0.10,1500,2000,2000
2016,February,09,0.10,1500,2000,2000
2017,February,09,0.10,1500,2000,2000
2018,February,09,0.10,1500,2000,2000
2014,January,09,0.10,1500,2000,2000
2016,January,09,0.10,1500,2000,2000
2017,January,09,0.10,1500,2000,2000
2018,January,09,0.10,1500,2000,2000
2015,July,09,0.10,1500,2000,2000
2016,July,09,0.10,1500,2000,2000
2017,July,09,0.10,1500,2000,2000
2014,June,09,0.10,1500,2000,2000
2015,June,09,0.10,1500,2000,2000
2016,June,09,0.10,1500,2000,2000
2017,June,09,0.10,1500,2000,2000
2014,March,09,0.10,1500,2000,2000
2016,March,09,0.10,1500,2000,2000
2017,March,09,0.10,1500,2000,2000
2018,March,09,0.10,1500,2000,2000
2014,May,09,0.10,1500,2000,2000
2015,May,09,0.10,1500,2000,2000
2016,May,09,0.10,1500,2000,2000
2017,May,09,0.10,1500,2000,2000
2015,November,09,0.10,1500,2000,2000
2016,November,09,0.10,1500,2000,2000
2017,November,09,0.10,1500,2000,2000
2014,October,09,0.10,1500,2000,2000
2015,October,09,0.10,1500,2000,2000
2016,October,09,0.10,1500,2000,2000
2017,October,09,0.10,1500,2000,2000
2014,September,09,0.10,1500,2000,2000
2015,September,09,0.10,1500,2000,2000
2016,September,09,0.10,1500,2000,2000
2017,September,09,0.10,1500,2000,2000
2014,April,10,0.10,1500,2000,2000
2015,April,10,0.10,1500,2000,2000
2016,April,10,0.10,1500,2000,2000
2017,April,10,0.10,1500,2000,2000
2014,August,10,0.10,1500,2000,2000
2015,August,10,0.10,1500,2000,2000
2016,August,10,0.10,1500,2000,2000
2017,August,10,0.10,1500,2000,2000
2015,December,10,0.10,1500,2000,2000
2016,December,10,0.10,1500,2000,2000
2017,December,10,0.10,1500,2000,2000
2014,February,10,0.10,1500,2000,2000
2016,February,10,0.10,1500,2000,2000
2017,February,10,0.10,1500,2000,2000
2018,February,10,0.10,1500,2000,2000
2014,January,10,0.10,1500,2000,2000
2016,January,10,0.10,1500,2000,2000
2017,January,10,0.10,1500,2000,2000
2018,January,10,0.10,1500,2000,2000
2015,July,10,0.10,1500,2000,2000
2016,July,10,0.10,1500,2000,2000
2017,July,10,0.10,1500,2000,2000
2014,June,10,0.10,1500,2000,2000
2015,June,10,0.10,1500,2000,2000
2016,June,10,0.10,1500,2000,2000
2017,June,10,0.10,1500,2000,2000
2014,March,10,0.10,1500,2000,2000
2016,March,10,0.10,1500,2000,2000
2017,March,10,0.10,1500,2000,2000
2018,March,10,0.10,1500,2000,2000
2014,May,10,0.10,1500,2000,2000
2015,May,10,0.10,1500,2000,2000
2017,May,10,0.10,1500,2000,2000
2014,November,10,0.10,1500,2000,2000
