year,month,date,arrival,min,max,modal
2017,July,14,50.00,1000,1200,1100
2016,April,23,3.00,1700,1800,1750
2016,June,18,30.00,1700,1800,1750
2016,August,03,30.00,1700,1850,1800
2016,March,17,35.00,1700,1800,1750
2016,February,08,40.00,1700,1750,1725
2015,December,10,40.00,1700,1750,1725
2016,May,24,40.00,1700,1800,1750
2016,February,15,45.00,1700,1750,1725
2016,November,10,45.00,1900,2100,2000
2015,December,11,50.00,1700,1750,1725
2016,December,18,50.00,1900,2100,2000
2018,June,02,50.00,2000,2100,2050
2018,May,16,50.00,2100,2300,2200
2014,August,13,55.00,1850,1950,1900
2014,August,19,55.00,1900,2000,1950
2017,April,19,60.00,1800,2000,1900
2014,September,02,60.00,1950,2100,2000
2015,December,17,70.00,1700,1750,1725
2015,December,24,70.00,1700,1750,1725
2015,December,21,75.00,1700,1750,1725
2016,December,08,75.00,1900,2100,2000
2017,November,06,80.00,1930,2100,2000
2014,May,01,30.00,2200,2400,2300
2014,April,02,30.00,2200,2400,2300
2017,November,20,30.00,2400,2600,2500
2016,July,27,30.00,2500,2550,2525
2014,April,21,35.00,2200,2400,2300
2014,July,17,35.00,2300,2500,2400
2015,June,17,35.00,2600,2800,2700
2014,April,29,40.00,2200,2400,2300
2014,July,30,40.00,2300,2500,2400
2016,October,28,40.00,2400,2600,2500
2014,April,04,45.00,2200,2400,2300
2016,August,16,45.00,2500,2550,2525
2015,April,11,50.00,2500,2700,2600
2016,December,19,60.00,2400,2600,2500
2016,November,28,65.00,2400,2600,2500
2017,May,29,100.00,2400,2600,2500
2017,November,02,5.40,2000,2150,2120
2014,July,12,25.00,1800,1900,1850
2015,June,13,25.00,1850,1900,1875
2015,May,28,30.00,1850,1900,1875
2015,April,16,35.00,1750,1850,1800
2015,October,06,40.00,1700,1800,1750
2015,September,09,40.00,1700,1800,1750
2015,August,31,40.00,1700,1800,1750
2015,December,15,45.00,1700,1750,1725
2015,October,08,45.00,1700,1800,1750
2015,November,15,50.00,1700,1750,1725
2015,April,09,55.00,1750,1850,1800
2014,November,06,55.00,1800,1950,1900
2015,February,25,65.00,1650,1750,1700
2014,December,17,65.00,1700,1750,1725
2014,December,09,67.00,1700,1750,1725
2014,October,24,70.00,2000,2200,2100
2014,May,03,22.50,1900,2000,1900
2014,May,15,35.00,1800,2000,1900
2017,August,01,85.00,1000,1250,1150
2017,November,09,130.00,2000,2150,2070
2017,November,13,0.40,2000,2400,2200
2016,July,11,20.00,1700,1800,1750
2016,July,06,30.00,1700,1800,1750
2016,August,07,30.00,1700,1900,1800
2016,October,17,30.00,1900,2100,2000
2018,April,27,30.00,2100,2300,2200
2015,November,23,40.00,1700,1750,1725
2016,May,22,40.00,1700,1800,1750
2017,June,27,40.00,1800,2000,1900
2014,August,07,40.00,1850,1950,1900
2016,November,09,40.00,1900,2100,2000
2016,November,20,40.00,1900,2100,2000
2016,April,25,45.00,1700,1800,1750
2014,August,08,45.00,1850,1950,1900
2016,October,03,45.00,1900,2100,2000
2015,December,04,50.00,1700,1750,1725
2018,June,20,50.00,2000,2200,2100
2017,March,17,55.00,1700,1800,1750
2018,April,25,55.00,1900,2050,2000
2017,July,19,56.00,1800,2100,1900
2015,March,03,60.00,1650,1750,1700
2016,January,14,60.00,1750,1800,1775
2017,May,05,60.00,1800,2000,1900
