year,month,date,arrival,min,max,modal
2022,February,18,8.00,1300,1400,1400
2022,February,19,8.00,1300,1400,1400
2022,February,10,8.00,1400,1400,1400
2022,February,17,8.00,1400,1500,1500
2022,February,11,8.00,1500,1600,1600
2022,February,09,9.00,1000,1200,1200
2022,February,14,10.00,1300,1400,1400
2022,February,15,10.00,1400,1500,1500
2022,February,20,12.00,1500,1600,1600
2022,February,22,25.00,1400,1500,1500
2022,February,21,25.00,1500,1600,1600
2018,November,28,0.10,1800,2000,1900
2018,November,05,0.10,2000,2500,2050
2018,August,23,2.50,1400,1600,1500
2019,July,08,2.50,3600,4000,3800
2019,July,16,2.50,4000,4500,4200
2022,January,27,3.00,1000,1200,1200
2019,June,19,3.00,2000,2500,2200
2019,June,17,3.00,2200,2500,2400
2022,April,30,3.00,2800,3100,3000
2019,November,21,3.00,3000,3200,3100
2019,July,09,3.00,3000,3500,3250
2019,July,11,3.00,3000,3500,3300
2019,August,13,3.00,3200,4000,3500
2019,July,20,3.00,3500,4800,4500
2019,July,01,3.50,2500,3500,3000
2022,April,07,4.00,2000,2400,2200
2019,June,20,4.00,2000,2500,2200
2022,April,18,4.00,2400,2600,2500
2019,June,29,4.00,2500,3500,3000
2019,June,14,4.00,3000,3200,3100
2019,June,27,4.00,3000,3600,3200
2019,August,19,4.00,3000,3600,3300
2019,June,11,4.00,3000,3700,3400
2019,June,12,4.00,3000,3700,3400
2019,June,25,4.00,3000,3800,3500
2019,July,02,4.00,3000,4000,3500
2019,July,14,4.00,3000,4000,3500
2019,August,09,4.00,3400,3600,3500
2019,July,12,4.00,3400,3600,3500
2019,August,17,4.00,3500,4000,3700
2019,July,03,4.00,3500,4000,3800
2019,August,06,4.00,3500,4000,3800
2019,August,01,4.00,3500,4500,4000
2019,July,24,4.00,3500,4500,4000
2019,July,19,4.00,4000,4800,4500
2019,July,17,4.00,4000,5000,4500
2019,July,22,4.00,4000,5000,4500
2019,August,21,4.50,3000,3500,3250
2019,July,04,4.50,3000,4000,3500
2019,June,26,4.50,3200,3800,3500
2019,June,10,4.50,3500,4000,3700
2019,August,03,4.50,3500,4500,4000
2022,April,11,5.00,1600,2000,1800
2022,April,26,5.00,1800,2000,1900
2022,April,20,5.00,2000,2400,2200
2022,April,19,5.00,2400,2600,2500
2019,August,22,5.00,3000,3500,3250
2019,June,28,5.00,3000,3600,3250
2019,July,05,5.00,3000,4000,3500
2019,July,06,5.00,3000,4000,3500
2019,August,02,5.00,3500,4500,4000
2019,July,31,5.00,3500,4500,4000
2019,August,26,5.00,4000,4200,4100
2019,July,23,5.00,4200,4600,4500
2019,July,18,5.00,4800,5000,4800
2023,July,28,5.00,5900,6200,6000
2019,August,20,5.50,3000,3600,3200
